Annotee_Identifier	Human_Readable_Description
FBpp0139498	vacuolar protein sorting associated
FBpp0231031	glucose dehydrogenase [fad quinone]
FBpp0243860	sesquipedalian
FBpp0127061	nitrilase and fragile histidine triad fusion protein nitfhit
GA12080-PA	piggybac transposable element derived protein domain containing
FBpp0076903	proline dehydrogenase 1
FBpp0194850	peptidase s1 domain containing protein
FBpp0195985	gm
FBpp0195887	gm
FBpp0137903	c terminal binding protein
FBpp0179599	allatostatins mip
FBpp0183854	sparc modular calcium binding protein
FBpp0145834	anoctamin
FBpp0255234	proteoglycan
FBpp0227362	cuticle protein
FBpp0216027	duf 7027 domain containing protein
FBpp0079563	elm domain containing protein
FBpp0086237	semaphorin 2a
FBpp0134897	chitin binding type domain containing protein
GA11304-PA	zinc finger and domain containing protein
FBpp0250595	calmodulin protein 97a
FBpp0140987	small ribosomal subunit protein bs16m
FBpp0149983	delta aminolevulinic acid dehydratase
GA11968-PA	md lipid recognition domain containing protein
FBpp0197114	plexus
FBpp0177535	duf 1279 domain containing protein
FBpp0080013	glycogen synthase kinase alpha
FBpp0161983	transmembrane protein
FBpp0146496	duf 4794 domain containing protein
FBpp0229540	cg
FBpp0243986	nadh dehydrogenase
FBpp0191023	dependent peroxiredoxin
FBpp0123463	cytokine receptor
FBpp0121945	nose resistant to fluoxetine protein
FBpp0173753	methionine trna ligase mitochondrial
FBpp0122918	duf 389 domain containing protein
FBpp0189763	n alpha acetyltransferase 38 natc auxiliary subunit
FBpp0116760	ubiquitinyl hydrolase
FBpp0141834	vacuolar protein sorting associated
FBpp0180083	gl
FBpp0081718	solute carrier family member
FBpp0218599	single stranded dna binding protein
FBpp0136172	back domain containing protein
FBpp0223445	cg
FBpp0227136	cg
FBpp0258277	duf 4794 domain containing protein
FBpp0140424	bomanin
FBpp0077552	dehydrogenase reductase sdr family member
FBpp0192876	dna replication atp dependent helicase nuclease
FBpp0140661	trna specific adenosine deaminase
FBpp0184700	unconventional prefoldin rpb interactor protein
FBpp0216942	meiosis specific nuclear structural protein
FBpp0084924	serendipity locus protein delta
FBpp0172194	unknown protein
FBpp0190025	rrna processing protein fyv
FBpp0199867	rwd domain containing protein
GA13862-PA	syntaxin n terminal domain containing protein
FBpp0253682	tetraspanin
FBpp0137844	c2h2 type domain containing protein
FBpp0123307	upf protein cg
FBpp0210855	protein mo
FBpp0120079	ig domain containing protein
FBpp0131781	alkaline phosphatase
FBpp0143315	sam dependent mtase rsmb nop type domain containing protein
FBpp0423046	ig domain containing protein
FBpp0255130	gd
FBpp0185125	ecdysone 20 monooxygenase x1
FBpp0138207	alpha carbonic anhydrase domain containing protein
FBpp0121448	40s ribosomal protein s25
FBpp0111843	cide n domain containing protein
FBpp0173849	phosphatidylserine decarboxylase
GA13779-PA	cardio acceleratory peptide 2b
FBpp0312673	beta mannosyltransferase egh
FBpp0180595	gamma tubulin complex component
FBpp0232941	rna polymerase associated protein rtf
FBpp0193990	non specific serine threonine protein kinase
FBpp0233010	metalloendopeptidase
FBpp0170250	trna t 6 a37 methylthiotransferase
FBpp0216717	vesicular integral membrane protein vip
FBpp0158653	rho gap domain containing protein
FBpp0176310	cytochrome c domain containing protein
FBpp0263404	histidine rich glycoprotein
GA11884-PA	carnitine o palmitoyltransferase 1 liver
FBpp0163391	nuclear nucleic acid binding protein c1d
FBpp0227746	e3 ubiquitin protein ligase rnf
FBpp0144160	fyve type domain containing protein
FBpp0183448	drosophila melanogaster
FBpp0127112	cytochrome b c1 complex subunit 2 mitochondrial
FBpp0129531	gm
FBpp0137483	voltage gated potassium channel subunit beta
FBpp0317513	nf kappa b essential modulator
FBpp0077935	mrna 2 o methyladenosine n 6 methyltransferase
FBpp0263172	ben domain containing protein
FBpp0198219	tetratricopeptide repeat protein
FBpp0190317	dttp utp pyrophosphatase
FBpp0142054	ethanolaminephosphotransferase
FBpp0182093	adenylate cyclase
GA11277-PA	peptidase s1 domain containing protein
FBpp0148823	nadh quinone oxidoreductase subunit e
FBpp0195610	at18493p
FBpp0257298	sprouty evh domain containing protein
FBpp0151278	transmembrane protein n terminal domain containing
FBpp0180563	gl
GA20579-PA	enhancer of polycomb protein
FBpp0127227	unc protein
FBpp0153738	titin
FBpp0142196	lipase 4
FBpp0237126	duf 4780 domain containing protein
FBpp0269012	endothelin converting enzyme
FBpp0263896	craniofacial development protein
FBpp0113690	duf 4774 domain containing protein
FBpp0132826	upf protein c15orf40
FBpp0152317	biorientation of chromosomes in cell division protein x1
FBpp0186169	ig domain containing protein
FBpp0234415	5 formyltetrahydrofolate cyclo ligase
FBpp0239050	md lipid recognition domain containing protein
FBpp0183620	mitochondrial import inner membrane translocase subunit
FBpp0327562	non specific serine threonine protein kinase
FBpp0172463	wd repeat containing protein
FBpp0155405	tetraspanin
FBpp0202341	heparosan n sulfate glucuronate 5 epimerase
FBpp0314409	essential mcu regulator mitochondrial
FBpp0258658	stress response protein nst x3
FBpp0116977	ubiquitin protein
FBpp0196282	gd
FBpp0305807	regulating synaptic membrane exocytosis protein
FBpp0187152	v type proton atpase subunit
FBpp0166830	circadian clock controlled protein
FBpp0315077	mid
FBpp0258780	drosophila melanogaster
FBpp0115050	bee milk protein
FBpp0305803	pou domain class 3 transcription factor
FBpp0156647	sodium dependent multivitamin transporter
FBpp0179182	vesicle transport protein use
GA18310-PA	ganglioside induced differentiation associated protein
FBpp0121874	c2h2 type domain containing protein
FBpp0210116	major facilitator superfamily mfs profile domain containing protein
GA21093-PA	protein wnt
FBpp0194350	protein tsetseep domain containing
FBpp0237765	chitin binding type domain containing protein
FBpp0149702	f box wd repeat containing protein
FBpp0229767	ef hand domain containing protein
FBpp0082022	mucin 5ac
FBpp0130890	gd
FBpp0240688	fork head domain containing protein
FBpp0117222	protein wnt
FBpp0146124	netrin b
FBpp0148459	glutaminyl peptide cyclotransferase
FBpp0291542	protein tube
FBpp0121230	aminopeptidase
FBpp0114126	major facilitator superfamily mfs profile domain containing protein
FBpp0261079	cytochrome p450 4s3
FBpp0290208	tata box binding protein
FBpp0171499	cg protein
FBpp0130976	serine threonine protein kinase
FBpp0194284	duf 4794 domain containing protein
FBpp0198124	amino acid transporter
FBpp0236317	cofilin actin depolymerizing factor
FBpp0191747	kv channel interacting protein
FBpp0263900	translocation protein sec
FBpp0233794	ubiquitin protease family profile domain containing protein
FBpp0127336	insulin degrading enzyme
FBpp0291497	tyrosinase copper binding domain containing protein
FBpp0191443	gl
FBpp0145806	non specific serine threonine protein kinase
FBpp0192628	unknown protein
FBpp0217235	c2h2 type domain containing protein
FBpp0227452	odorant receptor
FBpp0183260	lim domain transcription factor lmo
FBpp0187511	rootletin coiled coil domain containing protein
FBpp0193725	aminopeptidase
GA13760-PA	gh
FBpp0077345	duf 1279 domain containing protein
FBpp0221205	rab protein
FBpp0203276	misexpression suppressor of ras 4
FBpp0188245	unconventional myosin ia
FBpp0212033	iron sulfur clusters transporter abcb mitochondrial
FBpp0170209	unknown protein
FBpp0229854	sphingolipid 4 desaturase
FBpp0172282	beta carbonic anhydrase
FBpp0139235	nucleolin x3
FBpp0083711	neprilysin
GA13701-PA	tata box binding protein
GA10434-PA	homeobox domain containing protein
FBpp0156666	general odorant binding protein 56d
FBpp0139720	c type lectin domain containing protein
FBpp0169238	tlc domain containing protein
FBpp0196499	stress induced phosphoprotein
FBpp0197219	u6 snrna associated sm protein lsm
FBpp0176165	mitochondrial thiamine pyrophosphate carrier
FBpp0140559	unknown protein
FBpp0127207	cral trio domain containing protein
FBpp0197202	scp domain containing protein
FBpp0204774	gtpase activating protein skywalker
GA21202-PA	guanine nucleotide exchange factor dbs
FBpp0083962	28s ribosomal protein s24 mitochondrial
FBpp0167028	leukocyte receptor cluster member
FBpp0233121	peptidase s1 domain containing protein
FBpp0245723	dependent peroxiredoxin
FBpp0247860	c2h2 type domain containing protein
FBpp0241261	protoporphyrinogen oxidase
FBpp0235087	wd repeat containing protein
FBpp0127348	transcription initiation factor tfiid subunit
FBpp0077891	dipeptidase
FBpp0155821	fanconi anaemia group a protein n terminal domain containing
FBpp0242974	cyclin c
GA13648-PA	ionotropic glutamate receptor c terminal domain containing protein
FBpp0263891	serine threonine protein kinase ick
FBpp0264218	cytochrome p450 6a14
FBpp0136157	pyruvate dehydrogenase [acetyl transferring] phosphatase 1 mitochondrial
FBpp0218605	peroxiredoxin
FBpp0190517	atp binding cassette sub family g member
FBpp0213491	ribosomal rna processing protein 14 surfeit locus c terminal domain containing
FBpp0128015	peroxisomal membrane protein pmp
FBpp0153700	inorganic phosphate cotransporter x1
FBpp0156227	gh
FBpp0074269	fibrinogen protein
FBpp0162829	ionotropic glutamate receptor c terminal domain containing protein
FBpp0120284	saysvfn domain containing protein
GA12252-PA	dolichyl diphosphooligosaccharide protein glycosyltransferase subunit dad
FBpp0237911	ionotropic glutamate receptor c terminal domain containing protein
FBpp0227791	gh
FBpp0173375	histone h2b
FBpp0266768	acireductone dioxygenase
FBpp0150377	chitin binding type domain containing protein
FBpp0130427	protein zwilch
FBpp0269316	programmed cell death protein dimerisation domain containing
FBpp0139984	gl
FBpp0201705	eukaryotic translation initiation factor subunit m
FBpp0134079	gastrula zinc finger protein xlcgf x1
FBpp0162130	steroid 5 alpha reductase c terminal domain containing protein
FBpp0199549	protein farnesyltransferase geranylgeranyltransferase type subunit alpha
FBpp0269609	epidermal growth factor receptor kinase substrate
FBpp0116507	glycerol phosphate dehydrogenase
FBpp0074444	chitin binding type domain containing protein
FBpp0171154	actin binding lim protein x2
FBpp0288517	protein cappuccino x4
FBpp0173177	trypsin
FBpp0115943	glycosyl hydrolases family gh domain containing protein
FBpp0125274	lachesin x1
FBpp0217603	f box domain containing protein
FBpp0187916	large ribosomal subunit protein bl35m
FBpp0240740	protein hemingway
FBpp0242299	ring type domain containing protein
FBpp0149741	larval cuticle protein
FBpp0153081	ankyrin repeat and fibronectin type iii domain containing protein
FBpp0080835	cytochrome c oxidase subunit
FBpp0176493	thrombospondin n terminal domain containing protein
FBpp0189912	gh
FBpp0226441	peptidyl prolyl cis trans isomerase d
FBpp0312297	sodium potassium transporting atpase subunit alpha
FBpp0237834	zinc finger ccch domain containing protein
FBpp0172127	enhancer of split mbeta protein
FBpp0225894	heat shock protein
FBpp0172532	hydrolase lipase protein
FBpp0233322	nadph oxidase
FBpp0265375	steroid hormone receptor err
GA20019-PA	serine threonine protein kinase s6kl
FBpp0267916	trichohyalin
FBpp0134014	glial cell line derived neurotrophic family receptor
FBpp0140365	wd repeat containing protein
FBpp0266519	transmembrane protein mitochondrial
FBpp0264471	rna directed dna polymerase
GA14357-PA	[histone h3] lysine 36 n trimethyltransferase
FBpp0209057	protein serine threonine kinase
FBpp0324587	gd
FBpp0139798	homeotic protein caudal
FBpp0142910	hdc
FBpp0123903	protein split ends
FBpp0170600	unknown protein
FBpp0324233	3 5 cyclic phosphodiesterase
FBpp0228958	muscle protein
FBpp0230319	alpha carbonic anhydrase domain containing protein
FBpp0178651	carboxylic ester hydrolase
FBpp0320048	c3h1 type domain containing protein
FBpp0139022	attacin a
FBpp0211163	chitin binding type domain containing protein
FBpp0082561	fgfr oncogene partner
FBpp0182432	ras protein rab
FBpp0140222	gd
FBpp0198283	dnaj protein x1
FBpp0225359	tetratricopeptide repeat protein
FBpp0119555	gd
FBpp0163980	sushi von willebrand factor type a egf and pentraxin domain containing protein
FBpp0144338	duf 4794 domain containing protein
FBpp0078736	gd
FBpp0218261	osiris
FBpp0246851	osiris
FBpp0267019	rab family interacting protein 4b x3
FBpp0180587	factor viii intron protein
FBpp0233073	nuclear rna export factor
FBpp0149821	gd
FBpp0309188	myotubularin protein
FBpp0186410	s adenosylmethionine mitochondrial carrier protein
FBpp0206659	n alpha acetyltransferase
FBpp0265106	serine threonine protein kinase unc
FBpp0178684	gl
FBpp0073777	nadh dehydrogenase
FBpp0204198	exportin
FBpp0206975	proteasome subunit beta
FBpp0231633	coiled coil domain containing protein 28b
FBpp0127628	lysozyme
FBpp0173987	baculoviral iap repeat containing protein 5 2
FBpp0223502	er membrane protein complex subunit 8 9
FBpp0120729	disintegrin and metalloproteinase domain containing protein
FBpp0202888	guanine nucleotide binding protein subunit alpha
FBpp0149319	transcription initiation factor tfiid subunit
FBpp0228794	endothelin converting enzyme
FBpp0239991	ring type domain containing protein
FBpp0252485	proton coupled folate transporter
FBpp0138487	ccaat enhancer binding protein
FBpp0164938	e3 ubiquitin protein ligase trim x2
FBpp0165836	rint protein
FBpp0173817	dynein regulatory complex subunit
FBpp0198104	protein pinocchio
FBpp0225750	c type lectin domain containing protein
FBpp0124968	lebercilin domain containing protein
FBpp0139288	duf 753 domain containing protein
FBpp0152910	secernin
FBpp0137470	serine arginine repetitive matrix protein
FBpp0184462	pre rrna processing protein ipi n terminal domain containing
FBpp0077718	tetratricopeptide repeat protein
FBpp0121415	enhancer of split m4 protein
FBpp0081847	zinc transporter
FBpp0206964	gd
FBpp0227379	cuticle protein
FBpp0113451	protein nutcracker
FBpp0152501	polymerase delta interacting protein
FBpp0201023	hemese b
FBpp0244212	glutamic acid rich protein
FBpp0119004	partial ab hydrolase lipase domain containing protein
FBpp0270471	condensin complex subunit protein
FBpp0121838	histone acetyltransferase type b catalytic subunit
FBpp0165270	transmembrane protein
FBpp0196398	nuclear hormone receptor ftz f1
FBpp0206125	krab zinc finger protein
FBpp0138216	synaptobrevin ykt
FBpp0245379	non specific serine threonine protein kinase
FBpp0258089	cdk activating kinase assembly factor mat
FBpp0242939	golgin x6
FBpp0144463	lipase
GA10629-PA	madf domain containing protein
FBpp0257442	golgi specific brefeldin a resistance guanine nucleotide exchange factor
GA13618-PA	gamma aminobutyric acid type b receptor subunit
FBpp0135296	transcription factor ouib x1
FBpp0254461	dalr anticodon binding domain containing protein
FBpp0135962	prolyl 4 hydroxylase alpha subunit n terminal domain containing protein
FBpp0134830	n sulphoglucosamine sulphohydrolase
FBpp0161106	mrna 2 o methyladenosine n 6 methyltransferase
FBpp0156932	fibrinogen c terminal domain containing protein
FBpp0147602	dynein assembly factor 5 axonemal
FBpp0203795	serine threonine protein kinase pitslre
FBpp0315875	integrin alpha ps
FBpp0080109	transmembrane superfamily member
GA15818-PA	leucine rich repeat containing protein
FBpp0266866	gh
FBpp0121182	neprilysin
FBpp0190222	proteasome subunit alpha type
FBpp0132548	protein inhibitor
FBpp0176648	tropomyosin isoforms 33 34 x18
FBpp0124471	enoyl coa delta isomerase 2 mitochondrial
FBpp0117385	ribokinase
FBpp0153689	c type lectin domain containing protein
FBpp0209766	immune induced peptide
FBpp0250511	btb poz domain containing adapter for cul mediated rhoa degradation protein
FBpp0242437	transcription factor ouib
FBpp0191209	supporter of activation yellow protein
FBpp0261887	asparaginase
FBpp0265899	sallimus
FBpp0159886	protein pdf
FBpp0131012	cystinosin
FBpp0153256	furin protease 1 2 x1
FBpp0145772	rrm domain containing protein
FBpp0119328	mitoferrin
FBpp0136284	cadherin 86c
FBpp0140804	fatty acyl coa reductase
FBpp0148280	catalase
FBpp0113765	btpa family membrane complex biogenesis protein
FBpp0186368	transcription initiation protein spt
FBpp0188624	rna methyltransferase
GA12437-PA	distal antenna protein
FBpp0214095	tubulin polyglutamylase ttll
FBpp0246167	aaa+ atpase domain containing protein
FBpp0157993	rbr type e3 ubiquitin transferase
FBpp0168628	ionotropic glutamate receptor c terminal domain containing protein
FBpp0217963	protein obstructor e x1
FBpp0149896	duf 1907 domain containing protein
FBpp0237917	protein peter pan
FBpp0263960	nadh dehydrogenase [ubiquinone] flavoprotein 1 mitochondrial
FBpp0320465	radial spoke head protein
FBpp0208900	retinol dehydrogenase x2
FBpp0237350	cyclin dependent kinase
FBpp0266740	scy protein x2
FBpp0255361	aminoacylase
FBpp0148456	lipase
FBpp0179565	citrate transporter domain containing protein
FBpp0124691	nucleoporin nup
FBpp0209260	drosophila melanogaster
FBpp0163560	chitin binding type domain containing protein
FBpp0162168	nedd family interacting protein
GA18849-PA	bifunctional glutamate proline trna ligase
FBpp0226437	morn repeat containing protein
FBpp0269308	cytoplasmic fmr interacting protein
FBpp0194703	cyp4d1 rb
FBpp0178309	vesicle trafficking protein sec22b b
FBpp0314299	gd
FBpp0080851	gtpase activating protein cdgapr
FBpp0246084	chitin binding type domain containing protein
FBpp0291690	peptidase s1 domain containing protein
FBpp0175680	ubiquitin fold modifier
FBpp0237955	homeobox protein homothorax
FBpp0194107	ras protein rab
FBpp0250813	rrm domain containing protein
FBpp0241647	dual specificity protein phosphatase
FBpp0223863	protein pet mitochondrial
FBpp0241473	aaa+ atpase domain containing protein
FBpp0183659	centromere associated protein e
FBpp0250917	tetraspanin
FBpp0261580	duf 4794 domain containing protein
FBpp0123372	gm
FBpp0268455	uv excision repair protein rad
FBpp0243760	t complex protein subunit delta
FBpp0324713	cytokine receptor
FBpp0209080	cyclin dependent kinase inhibitor protein
FBpp0075269	inositol monophosphatase
FBpp0251707	cleavage and polyadenylation specificity factor subunit
FBpp0144815	n acetylgalactosaminyltransferase
FBpp0126950	palmitoleoyl protein carboxylesterase notum
FBpp0171982	kda u5 small nuclear ribonucleoprotein component
FBpp0134865	gm
GA18750-PA	acid transporter 0
FBpp0191799	circadian clock controlled protein
FBpp0175329	cytochrome p450 4e2
FBpp0240118	cral trio domain containing protein
FBpp0130005	enhancer of split m8 protein
FBpp0251260	small ribosomal subunit protein us
GA11283-PA	collagen alpha i chain
FBpp0077582	rab gtpase activating protein catalytic subunit
FBpp0133984	rna binding fox protein 1
FBpp0220175	dna directed rna polymerase i subunit d
FBpp0205700	serine trna ligase
FBpp0234663	unconventional prefoldin rpb interactor protein
FBpp0073667	aldose 1 epimerase
FBpp0176929	atp dependent helicase brm
GA20613-PA	trypsin
FBpp0192269	rab6a gef complex partner protein
FBpp0265073	myb protein q
FBpp0208532	t complex protein subunit theta
FBpp0193986	copper transport protein
FBpp0219689	transmembrane protein
FBpp0255747	molybdopterin synthase catalytic subunit
FBpp0194028	guanine nucleotide releasing factor
FBpp0119040	nudix hydrolase domain containing protein
FBpp0255427	bed type domain containing protein
FBpp0259403	sphingomyelin phosphodiesterase
FBpp0163047	unknown protein
FBpp0234264	kda receptor associated protein of the synapse
FBpp0138050	chitin binding type domain containing protein
FBpp0146984	uhrf binding protein
FBpp0196486	sidoreflexin
FBpp0262273	high mobility group protein dsp
FBpp0257515	proteasome assembly chaperone
FBpp0269743	mediator of rna polymerase ii transcription subunit
GA11313-PA	aryl hydrocarbon receptor nuclear translocator
FBpp0079472	3 ketoacyl coa thiolase mitochondrial
FBpp0081657	carbonic anhydrase
FBpp0197555	lim zinc binding domain containing protein
FBpp0191366	uridine phosphorylase x1
FBpp0235513	protein lethal 2 essential for life
GA16338-PA	splicing factor u2af subunit
FBpp0266927	protein tyrosine phosphatase
FBpp0240554	tetratricopeptide repeat protein
FBpp0190181	adam endopeptidase
FBpp0131309	peptidase a1 domain containing protein
FBpp0219842	nadh quinone oxidoreductase subunit b
FBpp0243210	protein clec16a x1
FBpp0150789	mitochondrial import receptor subunit tom
FBpp0170308	myotrophin
GA11203-PA	4 hydroxyphenylpyruvate dioxygenase
FBpp0163288	ribosomal rna processing protein
FBpp0230330	ionotropic glutamate receptor c terminal domain containing protein
FBpp0236743	myc box dependent interacting protein x1
FBpp0169186	cmp dcmp type deaminase domain containing protein
FBpp0244889	ubiquitin carboxyl terminal hydrolase
FBpp0132611	multidrug resistance protein
FBpp0167953	leucine rich repeat and immunoglobulin domain containing nogo receptor interacting protein 1
FBpp0155717	gh
FBpp0177713	cytochrome c1 2 heme protein mitochondrial
FBpp0317318	peptidase s1 domain containing protein
FBpp0151622	madf domain containing protein
FBpp0115857	actin cytoskeleton regulatory complex protein pan x1
FBpp0116254	eukaryotic translation elongation factor epsilon
FBpp0099409	salivary secreted peptide
FBpp0211544	endocuticle structural protein sgabd
FBpp0260139	mkrn opposite strand protein
FBpp0070124	s phase kinase associated protein
FBpp0185851	sidoreflexin
FBpp0313469	protein serine threonine phosphatase
FBpp0086885	apolipoprotein d
FBpp0318683	septin type g domain containing protein
FBpp0174391	gl
FBpp0072724	proton coupled amino acid transporter protein
FBpp0224730	abscisic aldehyde oxidase
FBpp0152846	n acetyltransferase domain containing protein
FBpp0113494	cuticle protein
FBpp0259099	dnaj subfamily b member 6 x1
FBpp0201081	envelope protein
FBpp0081246	pyridoxal 5 phosphate synthase
FBpp0261126	plasminogen receptor kt
FBpp0205963	bag family molecular chaperone regulator x1
FBpp0125713	g protein coupled receptors family profile domain containing
FBpp0168571	spatacsin c terminal domain containing protein
FBpp0247400	rutc family protein uk
FBpp0129931	non specific serine threonine protein kinase
FBpp0145670	gh
FBpp0135965	intracellular protein transport uso x5
FBpp0087617	cral trio domain containing protein
FBpp0255857	adam protease
FBpp0176866	igfbp n terminal domain containing protein
GA21361-PA	protein hid
FBpp0314822	cadherin domain containing protein
FBpp0267159	udp sugar transporter ust74c
FBpp0144306	voltage dependent calcium channel subunit alpha delta
FBpp0251122	chitin binding type domain containing protein
FBpp0125135	histone lysine n methyltransferase smyd
FBpp0165503	antioxidant domain containing protein
FBpp0240754	ring type domain containing protein
FBpp0147422	transcriptional regulatory protein
FBpp0183550	gl
FBpp0321063	stpr domain containing protein
FBpp0264645	prefoldin subunit
FBpp0255935	large ribosomal subunit protein bl32m
FBpp0231094	neprilysin
FBpp0243029	endothelin converting enzyme
FBpp0172748	polycomb group protein sex comb on midleg
FBpp0139548	protein tsetseep domain containing
FBpp0199004	basic proline rich protein
FBpp0192502	modifier of mdg 4
FBpp0191173	importin n terminal domain containing protein
GA19718-PA	rab family interacting protein x1
FBpp0186830	zinc finger c4h2 domain containing protein
FBpp0196071	gl
FBpp0231635	madf domain containing protein
FBpp0167047	unknown protein
FBpp0169325	unknown protein
FBpp0139339	apoptosis stimulating of p53 protein
FBpp0149817	drosophila melanogaster
FBpp0168064	nucleosome assembly protein 1
FBpp0190026	protein smoothened
FBpp0225846	marvel domain containing protein
FBpp0244673	lipase
FBpp0248196	pupal cuticle protein
FBpp0079228	multidrug resistance associated protein lethal 2 03659
FBpp0250918	tetraspanin
FBpp0253105	c ski smad binding domain containing protein
FBpp0254809	c2h2 type domain containing protein
FBpp0242593	protein takeout
FBpp0256251	serpin domain containing protein
FBpp0257878	odorant receptor
FBpp0081195	methylated dna [protein] cysteine methyltransferase
FBpp0183413	male specific protein
FBpp0204164	annexin
FBpp0198478	ascorbate ferrireductase transmembrane
FBpp0247881	bhlh domain containing protein
FBpp0180050	gl
FBpp0184004	glutamate transporter polyphemus x1
FBpp0263880	trisphosphate 3 kinase
FBpp0084326	neurofibromin 1
FBpp0316064	kat regulatory nsl complex subunit
FBpp0253311	mitochondrial ribosome associated gtpase
FBpp0130268	serendipity locus protein beta
FBpp0171714	inactive pancreatic lipase protein
FBpp0133004	ribonuclease oy
GA15659-PA	drosophila melanogaster
GA15811-PA	saga associated factor
FBpp0196401	mitochondrial dicarboxylate carrier
FBpp0194582	btb poz domain containing protein
FBpp0148467	gustatory receptor
FBpp0122980	gh
FBpp0171106	nucleolar complex protein
FBpp0072711	protein phosphatase
FBpp0184342	gd
FBpp0192821	drosophila melanogaster dromepin mrna
FBpp0138733	salivary secreted peptide
FBpp0318257	chemosensory protein b
FBpp0221792	non specific serine threonine protein kinase
FBpp0228392	protein regulator of cytokinesis
FBpp0197784	madf domain containing protein
FBpp0327240	homeotic protein bicoid x1
FBpp0224773	transmembrane protein n terminal domain containing
FBpp0137064	duf 4729 domain containing protein
FBpp0133629	kazal domain containing protein
FBpp0117906	c type lectin domain containing protein
FBpp0137627	c2h2 type domain containing protein
FBpp0207654	multiple coagulation factor deficiency protein
FBpp0231756	estradiol 17 beta dehydrogenase
FBpp0164829	ribonuclease p protein subunit p21
FBpp0231823	ef hand domain containing protein
FBpp0156628	spermatogenesis associated protein
FBpp0225235	toll receptor
FBpp0244802	duf 4777 domain containing protein
FBpp0252323	translation initiation factor eif2b subunit delta
FBpp0176357	map kinase serine threonine protein
FBpp0242793	gh
FBpp0242955	serine protease k12h4 7
FBpp0266146	low affinity immunoglobulin epsilon fc receptor x1
FBpp0173525	coiled coil domain containing protein 149
FBpp0128981	rfx type winged helix domain containing protein
FBpp0207413	bee milk protein
FBpp0145688	coatomer subunit beta
FBpp0136716	integrator complex subunit
FBpp0172987	protein spartin x1
FBpp0266545	secreted protein
FBpp0074641	ragulator complex protein lamtor
FBpp0207508	thiamine transporter
FBpp0125479	integrin alpha ps
FBpp0206435	rrm domain containing protein
FBpp0124392	single domain containing protein
FBpp0135099	cg
FBpp0136765	regulator of g protein signaling
FBpp0081204	osiris 19
FBpp0170443	ubiquitin conjugation factor e4 b
FBpp0201595	facilitated trehalose transporter tret
FBpp0140473	prohibitin
FBpp0189597	gh
FBpp0221587	larval cuticle protein
FBpp0176143	zinc finger and protein
FBpp0224026	g patch domain and ankyrin repeat containing protein
FBpp0075208	wash complex subunit strumpellin
FBpp0236747	nucleoporin nup alpha helical domain containing protein
FBpp0238878	leukotriene a 4 hydrolase
FBpp0113446	polyubiquitin c
FBpp0264074	flocculation protein flo
FBpp0121113	homeobox protein abdominal b
FBpp0140504	cue domain containing protein
FBpp0218520	gg
FBpp0226348	gustatory receptor
FBpp0075770	thioredoxin transmembrane protein
FBpp0264815	non specific serine threonine protein kinase
FBpp0149057	rrm domain containing protein
FBpp0192944	receptor mediated endocytosis protein
FBpp0264454	inactive serine protease scarface
GA17170-PA	succinate dehydrogenase
FBpp0148936	peptidase s1 domain containing protein
FBpp0314150	carbohydrate sulfotransferase
FBpp0072838	protein tsetseep domain containing
FBpp0197508	gm
FBpp0209363	cub domain containing protein
GA19743-PA	vacuolar sorting protein snf
FBpp0121170	mad2l1 binding protein
FBpp0258703	protein tyrosine phosphatase
GA17985-PA	endothelial differentiation factor
FBpp0231346	d 2 hydroxyglutarate dehydrogenase mitochondrial
FBpp0237940	histone h2b
FBpp0189749	phosphomevalonate kinase
FBpp0155775	cytochrome p450 4p1
FBpp0233110	major facilitator superfamily mfs profile domain containing protein
FBpp0133647	rrm domain containing protein
FBpp0129181	cytochrome p450 6a14
FBpp0261972	alpha tocopherol transfer protein
FBpp0085515	dnaj subfamily b member
FBpp0320827	protein xmas
FBpp0247583	signal transducing adapter molecule
FBpp0136811	run domain beclin interacting and cysteine rich containing protein
GA12948-PA	gl
FBpp0083658	cop signalosome complex subunit
FBpp0206601	peptidase s1 domain containing protein
FBpp0195281	keratin associated protein x1
FBpp0166491	kazal domain containing protein
FBpp0262087	neuropilin and tolloid protein
FBpp0127392	polycomb group protein pc
FBpp0070725	at07424p
FBpp0087226	peptidase s1 domain containing protein
FBpp0222188	aldose 1 epimerase
FBpp0148785	c 1 tetrahydrofolate synthase cytoplasmic
FBpp0171328	mediator of rna polymerase ii transcription subunit
FBpp0142297	augmin complex subunit dgt
GA21791-PA	coronin
FBpp0263682	transmembrane protein
FBpp0157164	histone h4
FBpp0192347	osiris
FBpp0144494	glyoxylate reductase hydroxypyruvate
FBpp0173852	drosophila melanogaster
FBpp0204752	e2f dp family winged helix dna binding domain containing protein
FBpp0200240	drosophila melanogaster
FBpp0201757	phospholipid transporting atpase
FBpp0237810	af fmr family member lilli x1
FBpp0159800	signal recognition particle subunit srp
FBpp0237591	uridine diphosphate glucose pyrophosphatase nudt
FBpp0248134	duf 4770 domain containing protein
FBpp0155386	mh domain containing protein
FBpp0250063	salivary secreted peptide
FBpp0250136	g protein coupled receptor mth
FBpp0309225	bpti kunitz inhibitor domain containing protein
FBpp0189371	malate dehydrogenase
GA11895-PA	odorant binding protein 46a
FBpp0239094	protein pet mitochondrial
FBpp0261150	chhc u11 48k type domain containing protein
FBpp0077410	synaptotagmin x5
FBpp0080269	fyve and coiled coil domain containing protein
