Annotee_Identifier	Human_Readable_Description
AT1G11070.3	unknown protein
AT5G37450.2	proline rich receptor protein kinase perk
CARHR136730.1	egf domain specific o linked n acetylglucosamine transferase
CARHR093300.1	protein c2 domain aba
CARHR209840.1	zinc finger protein
AT1G14290.1	sphinganine c4
CARHR058960.3	protein plastid movement impaired
CARHR115050.1	protein fatty acid export 2
AT1G66610.1	e3 ubiquitin protein ligase sina
AT3G43740.2	insensitive 1 receptor kinase
AT2G33290.4	histone lysine n methyltransferase h3 specific
CARHR219100.2	histone lysine n methyltransferase member
AT3G13730.1	cytochrome p450 85a1
CARHR056130.1	ammonium transporter member
AT1G06270.1	pentatricopeptide repeat containing protein
CARHR038410.2	dna polymerase epsilon catalytic subunit a
CARHR066180.1	eukaryotic translation initiation factor 2a
CARHR022430.1	bzip transcription factor tga
CARHR182270.2	prolyl 4 hydroxylase
CARHR108730.1	f box protein
AT5G09240.3	rna polymerase ii transcriptional coactivator kiwi
AT4G13960.3	f box lrr repeat protein
CARHR027860.1	ethylene responsive transcription factor
AT3G45400.1	unknown protein
CARHR163200.1	cytochrome p450
AT4G23310.2	cysteine rich receptor protein kinase
CARHR156090.1	no associated protein 1 chloroplastic mitochondrial
CARHR044900.2	e3 ubiquitin protein ligase bre
CARHR193820.2	gpi transamidase component
CARHR270850.1	auxin efflux carrier component
CARHR176060.1	ubiquitin modifier activating enzyme atg
AT2G07673.1	unknown protein
CARHR021120.2	bromodomain and phd finger containing protein
AT3G05070.1	coiled coil domain containing protein
CARHR134540.1	small polypeptide devil
AT5G23540.1	cop signalosome complex subunit
AT5G23720.3	dual specificity protein phosphatase
CARHR279220.2	ras protein rab 11a
AT2G44450.1	glycoside 26 o beta glucosidase
AT1G10715.1	embryo surrounding factor protein
CARHR231880.1	geranylgeranyl transferase type subunit alpha
CARHR162910.1	large ribosomal subunit protein el
AT5G19350.2	polyadenylate binding protein
AT5G02860.3	pentatricopeptide repeat containing protein
CARHR116170.1	g type lectin s receptor serine threonine protein kinase
AT5G57150.1	transcription factor bhlh
AT1G07650.4	cysteine rich receptor protein kinase
CARHR033940.1	signal peptidase complex protein dtm
CARHR219910.1	unknown protein
AT3G14220.1	inactive gdsl esterase lipase protein
AT2G04240.1	e3 ubiquitin protein ligase rha2b
CARHR218410.1	iq domain containing protein iqm
CARHR146750.1	beta myrcene synthase 2 chloroplastic
CARHR142720.1	atp dependent rna helicase
AT3G18750.1	serine threonine protein kinase wnk
AT3G25890.1	ethylene responsive transcription factor erf
AT4G11560.1	protein repressor of vernalization
AT2G29250.1	l type lectin domain containing receptor kinase 3
AT3G53450.1	cytokinin riboside 5 monophosphate phosphoribohydrolase log
CARHR025970.1	serine threonine protein phosphatase 2a kda regulatory subunit a
CARHR001820.1	two pore potassium channel
CARHR224790.4	two component response regulator orr
AT4G35987.1	calmodulin lysine n methyltransferase
AT3G29260.1	short chain dehydrogenase reductase
AT1G73600.2	phosphoethanolamine n methyltransferase
AT3G16190.1	n carbamoylsarcosine amidase
CARHR240730.4	transcription factor myb3r 1
AT5G28080.7	serine threonine protein kinase wnk
CARHR168470.1	bzip transcription factor
CARHR128160.1	protein trichome birefringence
AT5G46900.1	pearli lipid transfer protein
CARHR104900.1	ethylene receptor
CARHR291150.1	lysine histidine transporter
AT1G55320.1	acetyl coenzyme a synthetase
AT2G26210.4	serine threonine protein kinase
CARHR126580.1	glycine rich protein
AT4G30610.1	serine carboxypeptidase
AT4G03230.2	g type lectin s receptor serine threonine protein kinase
AT3G51980.1	hsp nucleotide exchange factor fes
AT1G33240.3	trihelix transcription factor
AT3G13080.2	abc transporter c family member
AT5G60780.1	affinity nitrate transporter
AT3G54480.6	f box protein skip
AT1G27540.2	f box protein
AT5G42760.1	unknown protein
AT5G27030.2	protein topless
AT5G48710.2	small ubiquitin modifier
AT3G19000.1	flavonol synthase flavanone 3 hydroxylase
CARHR186730.1	b3 domain containing protein
CARHR189810.1	f box lrr repeat protein
CARHR235850.1	ethylene responsive transcription factor erf
CARHR128470.1	aquaporin nip
CARHR052600.1	protein nrt ptr family
AT5G63460.3	protein lower temperature
AT1G52690.2	late embryogenesis abundant protein
CARHR037380.1	polyadenylate binding protein and nuclear
CARHR146540.1	thioredoxin domain containing protein
AT5G45330.3	protein lsm a
AT3G21215.2	rna binding protein with multiple splicing
CARHR294220.1	alkaline ceramidase tod
CARHR147500.2	raf serine threonine protein kinase
AT2G37620.2	actin
AT1G64580.1	pentatricopeptide repeat containing protein
AT1G59890.4	paired amphipathic helix protein sin
AT4G32175.1	exosome complex component rrp
AT1G03470.4	protein networked
CARHR153930.1	lysophosphatidylcholine acyltransferase
CARHR272900.1	disease resistance protein
AT4G27970.2	s type anion channel slah
CARHR139290.2	large ribosomal subunit protein ul
AT3G08970.1	chaperone protein dnaj
AT1G02750.1	protein dehydration induced
AT1G20270.3	prolyl 4 hydroxylase
AT1G01520.3	protein reveille
AT3G53390.1	wd repeat containing protein
AT1G01490.2	heavy metal associated isoprenylated plant protein
AT1G24350.4	unknown protein
AT1G22280.2	protein phosphatase 2c
AT3G21110.1	phosphoribosylaminoimidazole succinocarboxamide synthase
CARHR105910.1	aaa atpase
AT5G38100.3	1 3 7 acid n methyltransferase
AT2G29390.1	methylsterol monooxygenase
AT1G06670.2	atp dependent rna helicase dhx
AT5G23130.1	unknown protein
AT1G54210.1	ubiquitin protein atg
AT4G35520.4	dna mismatch repair protein mutl
CARHR266400.1	hydroxyproline o galactosyltransferase hpgt
AT5G20300.2	translocase of chloroplast 101 chloroplastic
AT1G70360.1	f box protein
CARHR260780.1	choline kinase
AT2G47650.2	udp glucuronic acid decarboxylase
AT2G05530.1	glycine rich protein
AT2G45640.1	histone deacetylase complex subunit sap
AT1G05620.2	non specific ribonucleoside hydrolase rihc
AT4G32520.1	serine hydroxymethyltransferase 1
AT1G28210.2	chaperone protein dnaj 1
AT5G17230.4	phytoene synthase 1 chloroplastic
CARHR225390.2	adenylate forming reductase
AT1G37130.1	inducible nitrate reductase [nadh]
CARHR243610.1	glutamate receptor
AT3G55020.1	tbc domain family member
AT3G05310.1	mitochondrial rho gtpase 1
AT3G51360.8	aspartyl protease family protein
AT5G55690.2	agamous mads box protein agl
CARHR269970.1	f box fbd protein
AT3G43740.1	insensitive 1 receptor kinase
CARHR239570.1	small ribosomal subunit protein es
AT3G56180.2	protein lurp one
AT5G47530.1	cytochrome b561 and domon domain containing protein
CARHR095080.1	beta xylosidase
AT3G13782.1	nucleosome assembly protein 1 2
AT5G55040.1	bromodomain containing protein
AT1G50990.1	serine threonine protein kinase bsk
CARHR011430.1	transmembrane protein 184a
CARHR256960.1	pterin alpha carbinolamine dehydratase 2
AT1G28330.4	dormancy associated protein
AT5G41620.4	unknown protein
AT1G10850.1	pollen receptor kinase
CARHR024710.1	valine trna ligase
CARHR273940.1	l type lectin domain containing receptor kinase 3
AT5G18430.1	gdsl esterase lipase
AT1G76580.3	squamosa promoter binding protein
AT1G26770.1	expansin
AT2G19620.2	protein ndrg
AT5G21930.2	copper exporting p type atpase
CARHR264390.1	at hook motif nuclear localized protein
AT2G24050.1	eukaryotic translation initiation factor gamma
AT5G21105.3	laccase
AT5G56710.2	large ribosomal subunit protein el
CARHR088380.1	e3 ubiquitin protein ligase
AT4G40040.2	histone h3 2
ATMG00170.1	unknown protein
CARHR054800.1	polygalacturonase
CARHR007700.1	l ascorbate peroxidase 1 cytosolic
AT5G58782.1	isoprenyl transferase
CARHR176870.1	inhibitor
CARHR190350.1	cytochrome p450
AT1G26390.1	berberine bridge enzyme
AT1G25520.1	gdt protein 1 chloroplastic
CARHR088590.1	f box protein
AT5G55920.1	ribosomal rna small subunit methyltransferase f
CARHR137750.1	protein g1 like
CARHR153640.1	pentatricopeptide repeat containing protein
AT2G03530.3	ureide permease
CARHR257720.2	cbs domain containing protein cbscbspb
AT2G29450.1	glutathione s transferase
AT2G24000.1	serine carboxypeptidase
AT2G13800.3	lrr receptor kinase
CARHR019470.1	mini zinc finger protein
CARHR169100.1	e3 ubiquitin protein ligase rnf
CARHR083960.1	ankyrin repeat containing protein
AT3G26460.1	mlp protein
CARHR100400.1	glutamyl trna gln amidotransferase subunit b 1
CARHR092690.1	eef1a lysine and n terminal methyltransferase
AT5G62730.2	protein nrt ptr family
AT1G13630.1	unknown protein
AT5G65890.2	bifunctional uridylyltransferase uridylyl removing enzyme
CARHR084090.1	pwwp domain containing protein
AT3G60040.3	f box protein
CARHR156880.1	transcription factor e2f7
CARHR082600.1	f box protein
AT3G10740.4	alpha l arabinofuranosidase
AT3G12770.1	pentatricopeptide repeat containing protein
CARHR033510.1	tryptophan aminotransferase protein
CARHR031510.1	bzip transcription factor 1
AT1G07175.2	protein psy
AT4G35360.3	4 phosphopantetheine phosphatase
AT5G38210.1	wall associated receptor kinase
AT2G29310.4	tropinone reductase
AT2G43500.9	protein nlp
AT1G58250.2	protein pollen
CARHR192920.1	transmembrane protein
AT5G41910.2	mediator of rna polymerase ii transcription subunit
CARHR244420.1	cold shock protein cspe
AT5G45510.1	disease resistance protein rpp2a
AT3G52640.3	nicastrin
CARHR174980.1	aluminum activated malate transporter
CARHR062370.1	hyperosmolality gated ca + permeable channel
CARHR090740.1	acyl protein thioesterase
CARHR099050.1	f box protein
AT5G16420.1	pentatricopeptide repeat containing protein mitochondrial
CARHR239180.1	aig protein
AT4G13820.1	receptor protein
CARHR133070.1	f box protein
CARHR170030.2	bag associated gram protein
CARHR013660.1	allene oxide cyclase 1 chloroplastic
CARHR023310.1	t complex protein
AT5G25170.1	deubiquitinase desi
CARHR288050.1	disease resistance protein rps
AT5G27670.1	histone h2a 2 1
CARHR193430.1	translation initiation factor eif2b subunit gamma
AT3G61890.1	homeobox leucine zipper protein
AT4G23790.1	protein trichome birefringence
CARHR006470.1	polygalacturonate 4 galacturonosyltransferase
AT1G07230.1	non phospholipase c
CARHR203350.1	elicitor peptide
AT4G34430.2	swi snf complex subunit smarcc
AT2G41100.7	calmodulin 11 16
AT2G14170.2	malonate semialdehyde dehydrogenase
AT2G07680.2	atp binding cassette sub family c member
AT5G20860.1	pectinesterase
AT2G16940.3	cugbp elav family member 3
AT1G14440.2	zinc finger homeodomain protein
AT1G54040.1	thiohydroximate o sulfate sulfur lyase nitrile forming nsp
CARHR029300.1	rna pyrophosphohydrolase
CARHR158380.1	general transcription factor 3c polypeptide
AT5G59130.3	subtilisin protease sbt
AT5G64660.1	u box domain containing protein
AT3G13060.2	yth domain containing family protein
CARHR047350.1	phosphoribosylformylglycinamidine cyclo ligase
CARHR216150.3	cationic amino acid transporter 2
CARHR183420.1	unknown protein
AT3G06340.2	dnaj subfamily c member 27
CARHR171260.1	at hook motif nuclear localized protein
AT4G38460.1	geranylgeranyl pyrophosphate synthase 11 chloroplastic
AT5G60100.1	two component response regulator
AT4G12020.5	disease resistance protein rrs
AT1G24120.1	chaperone protein dnaj
AT3G58760.1	serine threonine protein kinase
CARHR096280.1	glycerophosphodiester phosphodiesterase gdpdl
CARHR156570.2	hydroxyproline o galactosyltransferase galt
CARHR172370.1	germin protein subfamily member
CARHR234220.2	dek domain containing chromatin associated protein
AT5G67030.2	fad dependent monooxygenase
AT5G67500.1	mitochondrial outer membrane protein porin
AT4G17310.6	protein nonresponding to oxylipins 2 mitochondrial
AT4G35140.2	ddb and cul associated factor protein
AT1G18540.1	large ribosomal subunit protein el
AT5G59440.1	thymidylate kinase
CARHR051300.1	f box protein
CARHR108630.1	cationic peroxidase
CARHR181840.3	cytochrome p450
CARHR179170.1	casein kinase protein
AT2G44730.1	trihelix transcription factor enap
CARHR143290.2	tubby protein
AT5G18065.2	protein heat induced tas target
AT5G60620.1	glycerol phosphate acyltransferase
CARHR060590.1	phosphonates import atp binding protein phnc
CARHR064810.1	alpha 1 4 fucosyltransferase
AT3G62110.2	polygalacturonase
CARHR182270.1	prolyl 4 hydroxylase
AT5G47690.4	sister chromatid cohesion protein pds
AT5G43930.1	eukaryotic translation initiation factor subunit i
AT3G58780.2	agamous mads box protein
AT1G67280.1	lactoylglutathione lyase
AT1G62600.1	flavin containing monooxygenase fmo gs ox
AT3G18750.6	serine threonine protein kinase wnk
AT3G57230.5	mads box transcription factor
AT1G31040.1	protein rgf inducible transcription factor
AT1G10586.2	transcription factor bhlh
CARHR211790.2	pyridoxal 5 phosphate synthase subunit pdxs
CARHR157390.1	xyloglucan endotransglucosylase hydrolase protein
CARHR005140.5	thioredoxin o2 mitochondrial
AT5G42400.6	histone lysine n methyltransferase h3 specific
AT5G63190.1	ma domain containing translation regulatory factor
CARHR014690.1	unknown protein
AT3G25700.1	aspartic proteinase
AT5G14700.1	cinnamoyl coa reductase snl
CARHR220110.1	acyl carrier protein thioesterase chloroplastic
CARHR135670.1	trna a64 2 o ribosylphosphate transferase
CARHR176880.1	protein nuclear fusion defective
CARHR252530.2	vacuolar protein sorting associated
AT1G03920.2	serine threonine protein kinase
CARHR090990.3	dynein assembly factor with wd repeat domains
AT4G26520.1	fructose bisphosphate aldolase 1
CARHR205290.1	plant intracellular ras group lrr protein
CARHR187050.1	t complex protein subunit gamma
AT2G20900.2	diacylglycerol kinase
CARHR164780.4	amino acid transporter
CARHR264360.1	cysteine rich receptor protein kinase
AT4G16280.4	cugbp elav family member 1
CARHR189720.2	duf 724 domain containing protein
AT4G39960.1	chaperone protein dnaj
CARHR209950.2	heavy metal associated isoprenylated plant protein
AT4G13020.6	serine threonine protein kinase mak
CARHR222990.1	disease resistance protein
AT3G51480.3	glutamate receptor
CARHR282630.1	small ribosomal subunit protein us3m
AT5G59130.2	subtilisin protease sbt
AT5G23280.1	transcription factor
CARHR263820.1	l type lectin domain containing receptor kinase
AT2G32190.2	protein cysteine rich transmembrane module
CARHR135990.2	cysteine proteinase inhibitor
CARHR000910.1	phosphatidylinositol 4 phosphate 5 kinase protein
AT5G14220.2	4 diapophytoene desaturase diaponeurosporene forming
AT3G58510.2	atp dependent rna helicase
CARHR063530.1	protein nuclear fusion defective 6 mitochondrial
CARHR129850.1	cytoskeleton associated protein 5
AT5G04120.1	2 3 bisphosphoglycerate dependent phosphoglycerate mutase
AT3G28415.2	abc transporter b family member
CARHR040840.1	transmembrane protein 14c
AT1G44980.1	pectinesterase
CARHR164830.1	u box domain containing protein
CARHR248230.1	protein yabby
AT4G21090.2	synthase mitochondrial ferredoxin protein
AT1G01860.1	ribosomal rna small subunit methyltransferase a
AT4G27090.1	large ribosomal subunit protein el
CARHR051920.3	unknown protein
AT1G60460.3	type dna topoisomerase subunit b
AT5G18230.2	general negative regulator of transcription subunit
AT2G40570.1	trna a64 2 o ribosylphosphate transferase
AT5G37500.3	potassium channel akt 3
AT2G46900.1	ribosome quality control complex subunit
CARHR156070.1	peroxisomal membrane protein
CARHR126520.1	receptor protein
AT1G70100.4	protein wvd
AT4G33820.1	bifunctional endo beta xylanase
AT2G33680.3	pentatricopeptide repeat containing protein
AT3G09800.3	coatomer subunit zeta
AT1G44160.1	dnaj subfamily b member
CARHR237160.1	f box kelch repeat protein
AT4G35520.8	dna mismatch repair protein
CARHR085890.1	udp glycosyltransferase
CARHR223030.1	unknown protein
CARHR176880.2	protein nuclear fusion defective
AT2G46130.1	wrky transcription factor
AT5G23040.1	protein chaperone of por chloroplastic
AT1G48830.1	small ribosomal subunit protein es
AT1G66650.1	e3 ubiquitin protein ligase sina
AT4G00840.1	palmitoyltransferase zdhhc
AT1G59670.1	glutathione s transferase
AT5G13220.5	protein tify
CARHR123180.1	f box protein
AT5G55490.1	protein gamete expressed
AT4G03020.3	ddb and cul associated factor
AT4G32375.1	polygalacturonase
AT1G03900.1	adaptin ear binding coat associated protein
AT4G22880.2	flavonol synthase flavanone 3 hydroxylase
AT2G37780.1	unknown protein
CARHR050930.1	g type lectin s receptor serine threonine protein kinase
AT1G28510.1	opa protein
AT3G49030.1	f box fbd protein
CARHR111490.2	polygalacturonate 4 galacturonosyltransferase
AT4G25080.5	ubiquinone biosynthesis o methyltransferase
AT2G38070.1	protein octopus
AT5G29000.2	myb family transcription factor phl
CARHR171540.1	atp dependent rna helicase
AT4G20920.3	small rna 2 o methyltransferase
AT5G08490.5	pentatricopeptide repeat containing protein
AT1G08650.1	calcium dependent protein kinase
AT3G24460.1	serine incorporator
CARHR188520.1	protein glutamine dumper
AT4G28190.1	protein ultrapetala
CARHR095650.1	cytochrome p450
AT1G34030.1	small ribosomal subunit protein us
AT4G37680.1	adipor receptor
CARHR154860.1	udp glucuronic acid decarboxylase
AT3G52640.2	nicastrin
CARHR194000.1	speckle type poz protein
AT5G51920.1	molybdenum cofactor sulfurase
CARHR054440.1	pectinesterase
CARHR198640.2	f box protein
AT1G80860.2	phosphatidyl n methyltransferase
AT2G17033.4	pentatricopeptide repeat containing protein
CARHR270710.1	cytokinin dehydrogenase
CARHR127800.1	purine permease
CARHR141230.1	aquaporin pip
AT4G00320.1	f box protein
AT3G13830.1	f box protein
AT1G03920.3	serine threonine protein kinase
AT4G38380.4	protein detoxification 44
AT3G12980.1	histone acetyltransferase hac
AT1G09820.1	pentatricopeptide repeat containing protein
AT2G13820.1	non specific lipid transfer protein gpi anchored
AT5G62200.1	embryo specific protein
AT2G22640.1	protein brick
AT1G49730.2	proline rich receptor protein kinase perk
AT1G69930.1	glutathione s transferase
AT1G27970.2	nuclear transport factor
AT1G15150.2	protein detoxification
CARHR053680.1	cytochrome p450
AT4G18640.1	inactive receptor serine threonine protein kinase
AT3G11010.5	receptor protein
CARHR237450.1	defensin protein
AT4G14680.1	sulfate adenylyltransferase
CARHR288280.1	unknown protein
AT3G47300.1	selt protein
AT2G39310.1	jacalin lectin
CARHR061430.1	protein plant cadmium resistance
AT5G51810.2	gibberellin oxidase 1
CARHR095900.1	histone lysine n methyltransferase atxr
CARHR233300.2	dl glycerol phosphatase 1
AT4G34960.1	peptidyl prolyl cis trans isomerase
AT1G50300.2	zinc finger ran binding domain containing protein
CARHR048080.1	pentatricopeptide repeat containing protein
CARHR248740.1	nadp dependent malic enzyme 4
CARHR284630.1	unknown protein
AT5G04170.1	programmed cell death protein
CARHR088570.1	anti pycsar protein apyc
AT2G27110.3	protein far sequence
AT1G68240.1	transcription factor bhlh
CARHR176270.1	ctd nuclear envelope phosphatase
AT1G65113.1	defensin protein
CARHR128600.1	protein duf 642 l galactono lactone responsive gene
AT4G15090.5	protein far sequence
AT4G15056.1	protein neprosin
CARHR178100.1	multiple organellar rna editing factor 1
AT2G46570.2	laccase
CARHR190400.2	unknown protein
CARHR283270.1	nadh ubiquinone oxidoreductase chain
CARHR284820.2	zinc finger protein
CARHR061600.1	piriformospora indica insensitive protein
CARHR165690.1	dihydrofolate synthase folylpolyglutamate
AT1G72710.1	casein kinase i
AT2G01090.2	cytochrome b c1 complex subunit 6 1
AT5G50915.2	transcription factor bhlh
CARHR174570.1	defensin protein
CARHR010890.1	protein poor homologous synapsis
AT5G65130.1	ethylene responsive transcription factor erf
AT5G36930.2	disease resistance protein rps
AT3G12110.1	actin
CARHR243890.1	wuschel homeobox
AT1G09140.3	serine arginine rich splicing factor
CARHR179040.1	sucrose transport protein sut
AT3G56070.2	peptidyl prolyl cis trans isomerase
CARHR255430.1	dna directed rna and subunit
AT2G21230.3	bzip transcription factor
AT1G78620.1	protein vte chloroplastic
CARHR059660.1	clathrin heavy chain
AT1G63370.2	flavin containing monooxygenase fmo gs ox
CARHR063240.3	zinc finger mynd domain containing protein
CARHR071540.1	ethylene responsive transcription factor erf
CARHR154240.1	mitogen activated protein kinase
CARHR192460.3	vesicular glutamate transporter
CARHR105140.1	pentatricopeptide repeat containing protein
CARHR076410.1	protein trichome birefringence
AT3G17860.4	protein tify
CARHR185360.1	serine threonine protein phosphatase 2a regulatory subunit b
AT3G54050.2	fructose bisphosphatase 1
AT2G35370.1	glycine cleavage system h protein 1
CARHR145270.1	protein neprosin
AT2G05840.1	proteasome subunit alpha
AT3G22740.1	betaine homocysteine s methyltransferase
AT3G61310.1	at hook motif nuclear localized protein
AT3G48090.2	senescence associated carboxylesterase
AT4G18880.1	heat stress transcription factor a 1
CARHR057010.1	wall associated receptor kinase
CARHR270580.1	associated f box protein
AT3G28922.1	pectinesterase ppme
CARHR271000.1	tbc domain family member
AT2G28420.1	lactoylglutathione lyase
AT3G12100.2	metal tolerance protein c2
AT2G19730.3	large ribosomal subunit protein
AT1G56220.5	dormancy associated protein
CARHR229120.1	iron sulfur cluster assembly protein 1
AT4G11810.1	spx domain containing membrane protein 08463
CARHR213210.1	pentatricopeptide repeat containing protein
AT4G30870.1	crossover junction endonuclease mus
CARHR253190.2	chromatin remodeling protein
CARHR195800.2	gamma tubulin complex component
AT3G58830.3	phosphatidylglycerophosphate phosphatase 1 chloroplastic
CARHR144600.1	valine trna ligase mitochondrial
CARHR288450.1	vacuolar protein sorting associated
AT4G14810.1	cation h + antiporter
AT4G19530.1	disease resistance protein rps
AT4G01630.1	expansin a4
AT5G65870.1	phytosulfokines
AT2G29790.1	embryo surrounding factor protein
CARHR149970.1	protein nrt ptr family
AT3G44180.1	f box protein
CARHR171680.3	f box kelch repeat protein skip
AT1G71860.1	tyrosine protein phosphatase non receptor type
AT1G72860.1	disease resistance protein
CARHR015690.2	protein detoxification
CARHR024140.1	quinone oxidoreductase
AT3G56830.8	ycf protein
AT3G60630.1	della protein
AT5G10250.2	btb poz domain containing protein
CARHR232370.1	morc family cw type zinc finger protein
AT3G58510.1	atp dependent rna helicase
AT1G11400.2	partner of y14 and mago
CARHR042800.1	hydroxyacylglutathione hydrolase
CARHR118010.1	carbonyl reductase [nadph]
AT3G50610.1	precursor of cep
AT2G41100.6	calmodulin 11 16
AT5G35620.3	eukaryotic translation initiation factor 4e 1
CARHR209820.1	ras protein rab
CARHR161460.3	phosphatidylinositol phosphatase sac
AT5G44760.1	multiple c2 domain and transmembrane region protein
CARHR154940.1	disease resistance protein rpp
AT4G01440.5	wat protein
AT1G67220.1	histone acetyltransferase hac
AT3G03690.2	xylosyltransferase
CARHR074100.1	zinc regulated gtpase metalloprotein activator
AT2G40420.1	amino acid transporter
CARHR096390.1	protein ndr
AT5G65210.4	bzip transcription factor tga
AT5G08480.2	vq motif containing protein
CARHR254330.1	pgr protein chloroplastic
CARHR031690.1	disease resistance protein rps
AT3G16600.1	dna repair protein rad
AT5G54380.1	receptor protein kinase
AT1G72490.1	protein lazy
AT1G23800.1	aldehyde dehydrogenase member mitochondrial
CARHR220970.1	disease resistance protein
AT3G15940.1	n acetyl alpha d glucosaminyl l malate synthase
AT5G65550.1	udp glycosyltransferase
CARHR147960.1	s protein
AT3G07160.2	1 3 beta glucan synthase component
CARHR095360.2	transcription elongation regulator protein
AT5G41700.4	ubiquitin conjugating enzyme e2 16
CARHR145710.1	alpha arabinosyltransferase xat
CARHR079640.3	adenosine deaminase
AT2G33205.3	serine incorporator
CARHR063210.2	l type lectin domain containing receptor kinase 3
CARHR103420.1	patatin 1
CARHR169150.3	g type lectin s receptor serine threonine protein kinase lecrk
AT2G18470.3	proline rich receptor protein kinase perk
CARHR154650.2	exosome complex rrp
CARHR257330.1	sec protein
CARHR141340.1	upf protein
CARHR275280.1	synaptic vesicle membrane protein vat
AT1G15580.1	auxin responsive protein iaa
AT3G04470.1	ankyrin repeat domain containing protein 13c
AT4G15520.1	rrna methyltransferase 1 mitochondrial
AT3G03180.3	vesicle transport protein
AT1G18180.2	unknown protein
CARHR061790.2	transcription factor bhlh
AT5G53420.5	zinc finger protein
CARHR062520.1	dof zinc finger protein
CARHR168030.2	upf protein
AT2G47760.1	dol p man 5 glcnac 2 pp alpha mannosyltransferase
AT3G09380.1	cytosolic iron sulfur assembly component
CARHR280110.1	btb poz and taz domain containing protein
CARHR280460.2	otu domain containing protein 5
CARHR245680.1	pamp induced secreted peptide
AT1G01335.1	auxin responsive endogenous peptide
CARHR236310.1	nac domain containing protein 21 22
AT3G22270.1	protein pat
AT5G10900.1	serine threonine protein phosphatase 2 catalytic subunit
CARHR144060.1	clavata esr cle protein
AT4G25490.1	dehydration responsive element binding protein
AT4G32470.1	cytochrome b c1 complex subunit 7 1
CARHR197290.1	small polypeptide devil
AT4G22950.3	agamous mads box protein agl
AT4G36360.1	beta galactosidase
CARHR231940.4	mads box transcription factor
AT2G45580.3	cytochrome p450 monooxygenase
CARHR053100.1	two component response regulator
AT2G01490.2	phytanoyl coa dioxygenase protein
AT1G50970.1	vacuolar protein sorting associated
CARHR014530.1	kidney mitochondrial carrier protein
AT5G03270.1	cytokinin riboside 5 monophosphate phosphoribohydrolase log
CARHR077280.2	homeobox leucine zipper protein roc
CARHR081610.2	sterol 3 beta glucosyltransferase
AT4G00560.1	udp glucose 4 epimerase
AT1G29390.2	cold regulated inner membrane protein 1 chloroplastic
CARHR090170.1	f box protein
AT5G60990.1	atp dependent rrna helicase rrp
ATMG01030.1	unknown protein
AT3G06580.1	galactokinase
CARHR164510.1	histone acetyltransferase gcn
AT2G30600.6	kelch protein
CARHR204300.1	rcc and btb domain containing protein
AT3G12700.2	protein aspartic protease in guard cell
CARHR224690.1	at hook motif nuclear localized protein
AT5G24670.1	trna specific adenosine deaminase
AT5G40030.1	serine threonine protein kinase
AT1G64690.2	protein branchless trichome
AT5G22830.2	magnesium transporter mrs chloroplastic
CARHR192910.1	unknown protein
AT1G54860.1	unknown protein
CARHR031420.1	[ribosomal protein bs ] alanine n acetyltransferase
AT2G34710.1	homeobox leucine zipper protein hox
AT5G05490.2	sister chromatid cohesion protein
CARHR072750.1	pentatricopeptide repeat containing protein
AT1G17130.1	splicing factor yju
CARHR061180.1	glycosyltransferase bc
AT4G01250.1	wrky transcription factor
AT2G12190.1	cytochrome p450
CARHR054980.1	protein psk simulator
AT4G13263.1	protein down regulated in dif
AT3G57470.3	insulin degrading enzyme 1
CARHR285410.2	subtilisin protease sbt
AT2G20490.3	h aca ribonucleoprotein complex subunit nop
CARHR038870.2	zinc finger ccch domain containing protein
CARHR144920.1	f box protein pp
CARHR044670.1	mediator of rna polymerase ii transcription subunit
AT3G44735.2	phytosulfokines
CARHR130660.1	protein glutelin precursor accumulation
AT5G61960.4	meiosis protein mei
CARHR237850.1	transcription factor bhlh
CARHR238060.1	villin protein
AT4G26150.1	protein gata transcription factor
CARHR117290.2	ubiquitin carboxyl terminal hydrolase
AT4G09080.1	protein toc chloroplastic
AT1G67450.1	f box protein
CARHR040530.1	vacuolar protein sorting associated
CARHR276610.1	e3 ubiquitin protein ligase rnf
AT4G35985.1	senescence dehydration associated protein chloroplastic
AT4G17615.2	calcineurin b protein
AT1G28660.2	gdsl esterase lipase
CARHR031840.1	vacuolar protein sorting associated
AT3G58670.2	plant cysteine oxidase
AT1G56190.1	phosphoglycerate kinase 1
CARHR224420.1	two component response regulator orr
CARHR151920.1	large ribosomal subunit protein el
AT1G28350.1	tyrosine trna ligase 1
AT1G20840.2	facilitated trehalose transporter tret
CARHR280660.1	ethylene responsive transcription factor erf
CARHR257410.1	alpha taxilin
AT4G20380.4	protein lol
AT4G24980.1	wat protein
CARHR262870.1	kinesin protein kin
AT5G59040.1	copper transporter
AT4G22630.2	non specific lipid transfer protein gpi anchored
AT5G62100.5	bag family molecular chaperone regulator
AT5G61920.3	protein flx
AT5G03690.3	fructose bisphosphate aldolase 1
CARHR023160.1	arginine hydroxylase ndufaf mitochondrial
CARHR161540.1	heat stress transcription factor a 1
AT5G07770.1	formin protein
AT2G22750.1	transcription factor bhlh
CARHR290260.1	60s ribosome subunit biogenesis protein nip
AT1G48160.2	signal recognition particle kda protein
AT3G23250.2	myb transcription factor
AT3G10450.3	serine carboxypeptidase
AT1G30550.2	trimethylguanosine synthase
AT3G24300.1	ammonium transporter member
AT1G23060.3	protein wvd
AT5G17700.3	protein detoxification
AT4G23070.1	rhomboid protein 10
