Orthogroup	A.thaliana	C.hirsuta
cluster_678	AT4G35270.1, AT1G20640.1, AT1G76350.1, AT2G17150.1	CARHR069900.1, CARHR243590.1, CARHR021100.1, CARHR293470.1, 472297, 476788, 491122, 906541
cluster_68	AT5G66300.1, AT2G18060.1, AT4G10350.1, AT4G36160.1, AT1G32770.1, AT5G62380.1, AT1G33280.1, AT1G62700.1, AT1G79580.1, AT2G46770.1, AT3G61910.1, AT1G12260.1, AT1G71930.1	CARHR276160.1, 906644, 927381, 935661, 939264, CARHR012570.1, CARHR032150.1, CARHR256290.1, CARHR032650.1, CARHR281410.1, CARHR049140.1, CARHR073310.1, CARHR108550.1, CARHR142110.1, CARHR172270.1, CARHR244580.1, CARHR064750.1, 496976, 316163, 475082, 313839, 332471, 471376, 473504, 491017, 895168
cluster_683	AT4G19450.1, AT1G31470.1, AT3G01630.1, AT5G45275.1	CARHR176880.1, CARHR226240.1, CARHR075290.1, CARHR287050.1, 915596, 948474, 473629, 477352, 492916, 494458, 948476
cluster_7	AT1G18890.1, AT1G35670.1, AT1G50700.1, AT1G76040.2, AT2G17290.1, AT4G09570.1, AT4G21940.2, AT2G31500.1, AT4G04710.1, AT3G51850.1, AT4G04695.1, AT4G04700.1, AT4G04720.1, AT1G74740.1, AT4G04740.2, AT2G38910.1, AT4G23650.1, AT2G41860.1, AT1G61950.1, AT4G35310.1, AT3G20410.1, AT5G12180.1, AT3G10660.1, AT5G19360.1, AT4G38230.2, AT3G57530.1, AT5G23580.1, AT5G04870.1, AT5G19450.1, AT5G12480.1, AT2G35890.1	941887, 354567, 945969, 474202, 489809, 490109, 913433, 915341, 933698, CARHR050370.1, 478400, CARHR068040.1, 483269, CARHR069570.1, 905714, CARHR252860.1, CARHR085240.1, 491116, CARHR096120.1, CARHR260440.1, 492503, CARHR125150.1, 920833, CARHR130140.1, CARHR019540.1, 929969, CARHR189970.1, 938735, CARHR243640.1, CARHR252830.1, 943245, CARHR252840.1, CARHR287710.1, CARHR103870.1, 907248, CARHR177530.1, 488097, CARHR285140.1, 939889, CARHR050380.1, CARHR167750.1, 488835, 939524, CARHR193600.1, 888029, 949031, CARHR133640.1, CARHR200940.1, CARHR034410.1, CARHR136950.1, CARHR208410.1, CARHR034460.1, CARHR193480.1, CARHR050350.1, CARHR050390.1, CARHR200620.1, CARHR228740.1, CARHR107400.1, CARHR294020.1, CARHR231020.1, CARHR161480.1, CARHR252820.1, 326334, 345321, 345668, 352390, 476611, 480614, 485540, 488060, 490110
cluster_70	AT5G14870.1, AT1G15990.1, AT1G19780.1, AT2G23980.1, AT2G24610.1, AT3G48010.1, AT4G30560.1, AT5G53130.1, AT5G57940.1, AT2G28260.1, AT4G30360.1, AT1G01340.2, AT4G01010.1	895426, CARHR054080.1, 488330, 911407, CARHR198480.1, CARHR238260.1, CARHR238440.1, CARHR271720.1, CARHR016490.1, CARHR184680.1, 320567, 335228, 347894, CARHR117310.1, 481319, CARHR121180.1, 491716, CARHR156730.1, CARHR001110.1, CARHR249330.1, 327678, 470141, 949896, CARHR266160.1, 320206, 328660, 495894
cluster_71	AT5G01810.1, AT4G30960.1, AT5G10930.1, AT2G25090.1, AT1G29230.1, AT2G30360.1, AT5G01820.1, AT5G45810.1, AT5G45820.1, AT2G38490.1, AT5G25110.1, AT2G34180.1, AT4G18700.1	939479, CARHR151970.1, CARHR212160.1, 487924, 934014, 481363, CARHR238860.1, CARHR116620.1, CARHR202360.1, 481948, 494400, 494401, 894415, CARHR176160.1, CARHR188380.1, CARHR028540.1, CARHR123680.1, CARHR176150.1, CARHR133190.1, CARHR212170.1, 896438, CARHR225560.1, 482859, 486886, CARHR128270.1, 946320
cluster_711	AT5G56620.1, AT1G28470.1, AT4G28500.1, AT4G29230.1	CARHR152790.1, CARHR236280.1, CARHR236990.1, CARHR270310.1, 921902, 328786, 495753, 889287, CARHR027950.1
cluster_72	AT1G10120.1, AT1G68920.1, AT4G34530.1, AT5G62610.1, AT1G26260.1, AT1G59640.2, AT4G36540.1, AT5G48560.1, AT2G18300.3, AT3G07340.1, AT3G23690.1	CARHR244850.1, 905436, CARHR009030.1, 496441, 919783, CARHR010220.1, CARHR061790.1, CARHR276390.1, 910714, 925128, CARHR025650.1, 472791, 888409, CARHR099670.1, CARHR108890.1, CARHR289500.1, CARHR081990.1, CARHR183460.1, 494918, 903629, CARHR053600.1, CARHR242880.1, 347878, 476021, 480739, 491205
cluster_723	AT1G55610.1, AT3G13380.1, AT2G01950.1, AT4G39400.1	CARHR045310.1, CARHR087990.1, 914388, 932684, 484119, CARHR247310.1, CARHR144560.1, 478719, 924075, 943915
cluster_731	AT5G55470.1, AT3G05030.1, AT3G06370.1, AT5G27150.1	CARHR079350.1, CARHR080890.1, CARHR185790.1, 495630, CARHR268780.1, 935780, 477785, 928265, 942396
cluster_736	AT1G30560.1, AT4G25220.1, AT3G47420.1, AT4G17550.1	492311, 922121, CARHR156060.1, CARHR232620.1, 890460, 937481, CARHR030010.1, CARHR224250.1
cluster_74	AT1G10680.1, AT2G36910.1, AT2G47000.1, AT4G01820.1, AT4G01830.1, AT1G27940.1, AT1G28010.1, AT3G28860.1, AT4G25960.1, AT1G02520.1, AT1G02530.1, AT3G62150.1, AT4G18050.1, AT5G46540.1	CARHR141730.1, CARHR001850.1, CARHR142370.1, CARHR172490.1, CARHR222130.1, CARHR224820.1, 470213, 473002, 483871, 490396, CARHR010860.1, CARHR027370.1, CARHR151870.1, 919859, CARHR027460.1, 472995, 934330, CARHR131390.1, 484657, 492221, CARHR233470.1, 355242, 486718, 493065, 494323
cluster_75	AT2G39700.1, AT2G03090.1, AT5G02260.1, AT5G05290.1, AT5G56320.1, AT1G26770.2, AT2G37640.1, AT2G40610.1, AT3G29030.1, AT3G55500.1, AT1G69530.3, AT2G28950.1	CARHR122130.1, 482991, CARHR165550.1, CARHR134530.1, 495722, CARHR207950.1, 934422, 936082, 934869, 939605, 472728, 938484, 939949, 476086, 482761, 484671, CARHR025170.1, CARHR062490.1, CARHR269720.1, CARHR131940.1, CARHR135720.1, CARHR145440.1, CARHR152120.1, CARHR159520.1, 933364, CARHR211110.1, CARHR122120.1
cluster_76	AT2G39360.1, AT3G04690.1, AT3G46290.1, AT5G24010.1, AT5G28680.1, AT5G59700.1, AT2G21480.1, AT3G51550.1, AT4G39110.1, AT5G54380.1, AT5G61350.1, AT1G30570.1	CARHR030020.1, CARHR078920.1, CARHR134150.1, CARHR154760.1, CARHR189550.1, CARHR267640.1, CARHR273270.1, 485507, 495518, 496102, 943881, 950891, CARHR112400.1, 481013, CARHR247640.1, CARHR275110.1, CARHR161120.1, CARHR161130.1, 934693, CARHR161140.1, CARHR185290.1, 473286, 489259, 928023, 937338, 942461
cluster_773	AT3G48860.2, AT4G25070.2, AT5G13260.1, AT5G23700.1	CARHR157670.1, CARHR189850.1, CARHR200190.1, CARHR232460.1, 492332, 905914, 485239, 488142, 489231, 891182
cluster_775	AT4G11050.1, AT2G32990.1, AT1G64390.1, AT1G48930.1	482241, 489943, 887794, CARHR126940.1, 924488, CARHR255560.1, 474038, CARHR038920.1, CARHR046540.1
cluster_779	AT3G02250.1, AT1G14020.1, AT2G03280.2, AT5G15740.1	CARHR014390.1, CARHR076220.1, CARHR145600.1, CARHR197590.1, 471563, 488418, 896294, 927703
cluster_79	AT1G55690.1, AT1G75370.2, AT2G18180.1, AT2G21540.1, AT4G34580.1, AT4G36490.1, AT4G39170.1, AT4G39180.1, AT5G56160.1, AT2G16380.1, AT2G21520.2, AT1G19650.1	CARHR153010.1, 944235, CARHR112480.1, CARHR242820.1, CARHR244790.1, CARHR247580.1, CARHR020170.1, CARHR068720.1, CARHR068730.1, 899419, 917308, CARHR045370.1, 474628, CARHR112450.1, CARHR153380.1, CARHR247550.1, CARHR269530.1, 906767, CARHR108700.1, CARHR106620.1, CARHR247560.1, CARHR247570.1, 472189, 476682, 481021, 888608, 931702, 943887, 943888, 944233
cluster_8	AT1G07640.3, AT1G28310.2, AT3G45610.1, AT3G52440.1, AT5G62940.1, AT5G39660.1, AT5G65590.1, AT2G46590.2, AT3G50410.1, AT4G38000.1, AT5G62430.1, AT5G66940.1, AT2G28810.1, AT2G37590.1, AT3G55370.3, AT5G02460.1, AT1G47655.1, AT1G51700.1, AT2G28510.1, AT3G21270.1, AT4G24060.1, AT5G60200.1, AT5G60850.1, AT1G64620.1, AT3G61850.4, AT4G00940.1, AT1G26790.1, AT1G69570.1, AT3G47500.1	473042, 473910, 496791, 938123, CARHR210920.1, 951089, CARHR273880.1, 951535, 935641, CARHR279550.1, CARHR007430.1, 481796, CARHR027800.1, 485960, CARHR037290.1, 487022, CARHR097180.1, 934416, CARHR141940.1, CARHR150010.1, CARHR162210.1, 481761, CARHR276750.1, 930083, CARHR121950.1, CARHR165380.1, CARHR025150.1, CARHR062520.1, CARHR041860.1, CARHR156140.1, 474287, CARHR274530.1, CARHR159920.1, 897595, CARHR231460.1, CARHR246420.1, CARHR276230.1, 496158, CARHR262630.1, 950837, CARHR280760.1, 474883, 484945, 889756, 486687, CARHR172180.1, CARHR249400.1, CARHR046300.1, CARHR121520.1, CARHR131980.1, 313311, 476091, 490815, 910452, 947850, 951020
cluster_81	AT3G51290.1, AT1G20090.1, AT1G75840.1, AT2G17800.1, AT2G44690.1, AT5G45970.1, AT5G62880.1, AT3G51300.1, AT4G35020.1, AT4G35950.1, AT3G48040.1, AT4G28950.1	CARHR160870.1, CARHR069390.1, CARHR139900.1, CARHR236700.1, CARHR243300.1, CARHR244350.1, CARHR020570.1, 491155, 937990, CARHR108220.1, CARHR160880.1, CARHR175960.1, 485165, 485480, CARHR276670.1, 322132, 472235, 480678, 491041, 494381, 496470, 926972, 945129
cluster_82	AT2G43790.1, AT2G46070.1, AT4G01370.1, AT4G11330.1, AT1G01560.2, AT1G07880.2, AT1G01540.2, AT3G59790.1, AT4G01330.2, AT4G02630.1, AT4G34500.1, AT3G45640.1	322261, 910483, 918805, 935295, 943609, CARHR000800.1, CARHR007690.1, CARHR141330.1, CARHR255250.1, 898933, 942987, CARHR149990.1, 359733, 470125, 887356, CARHR000830.1, 490296, CARHR248990.1, 895886, CARHR000820.1, CARHR138970.1, 491208, CARHR242920.1, CARHR250920.1, 484948, CARHR248970.1
cluster_84	AT3G04510.1, AT5G28490.1, AT5G58500.1, AT1G07090.1, AT1G16910.1, AT4G18610.1, AT1G78815.1, AT3G23290.2, AT2G31160.1, AT2G42610.1	CARHR124760.1, CARHR137750.1, CARHR176100.1, CARHR185130.1, CARHR225470.1, CARHR017410.1, CARHR078700.1, 930355, 919431, 946331, 948377, CARHR099260.1, 950561, 927295, CARHR006790.1, CARHR123430.1, CARHR272330.1, CARHR072380.1, 344884, 477707, 489650, 497295, 933501, 935147, 951828
cluster_87	AT1G18140.1, AT2G29130.1, AT2G38080.1, AT5G01190.1, AT5G58910.1, AT5G60020.1, AT5G03260.1, AT2G30210.1, AT2G40370.1, AT5G05390.1, AT5G07130.1	CARHR006690.1, CARHR206010.1, CARHR207840.1, CARHR210090.1, 481932, 920739, 934840, 496014, 496140, 497195, CARHR123520.1, 892095, 933387, 482815, CARHR272850.1, CARHR273650.1, CARHR122430.1, CARHR132660.1, CARHR135450.1, CARHR211520.1, CARHR018700.1, 487097, 919419, 325328, 487334
cluster_90	AT1G01030.1, AT2G46870.1, AT4G01500.1, AT3G25730.1, AT3G61970.1, AT1G13260.1, AT1G25560.1, AT1G68840.1, AT4G37040.1, AT1G13270.1, AT3G25740.1	486704, 943596, 470180, CARHR001480.1, 483854, CARHR172330.1, CARHR206950.1, CARHR245470.1, CARHR250180.1, CARHR025890.1, 476011, 484335, 497309, 920198, 921660, CARHR061680.1, CARHR142220.1, CARHR146650.1, CARHR013640.1, CARHR034190.1, 944158, 322718, 471483, CARHR013650.1, CARHR146660.1
cluster_91	AT1G20010.1, AT1G75780.1, AT2G29550.1, AT4G20890.1, AT5G12250.1, AT5G23860.1, AT5G44340.1, AT5G62690.1, AT5G62700.1, AT1G50300.1	948687, CARHR020480.1, CARHR069200.1, CARHR122890.1, CARHR128920.1, CARHR155480.1, CARHR178800.1, CARHR189700.1, CARHR200860.1, CARHR227450.1, CARHR276490.1, CARHR257750.1, 923473, CARHR040350.1, CARHR259610.1, 472226, 476725, 481870, 485062, 489245, 492797, 496451, 893150, 934076
cluster_93	AT1G06070.1, AT1G29350.1, AT1G29370.1, AT5G17510.1, AT5G61270.1, AT3G03460.1, AT1G17440.1, AT3G03470.1, AT1G22080.1, AT2G31370.3, AT1G25540.1, AT4G32551.2	358332, 473146, 482066, 491464, 919313, CARHR028700.1, CARHR275020.1, 471949, CARHR025920.1, CARHR077480.1, CARHR195680.1, CARHR018030.1, 927862, CARHR077490.1, CARHR005590.1, CARHR125000.1, 488617, 927863, 472815, CARHR240520.1, 321144
cluster_933	AT1G01960.1, AT3G60860.1, AT4G35380.1, AT4G38200.1	470078, CARHR000390.1, 486560, CARHR171250.1, 921870, 490579, 491109, CARHR243700.1, CARHR293970.1
cluster_95	AT1G13960.1, AT2G30250.1, AT5G07100.1, AT5G56270.1, AT2G38470.1, AT4G26440.1, AT4G26640.2, AT2G03340.1, AT2G37260.1, AT3G01080.1	CARHR014330.1, 325325, CARHR075980.1, 471557, CARHR075990.1, 481938, CARHR269670.1, 484242, 950284, CARHR133160.1, CARHR145680.1, CARHR206030.1, CARHR132330.1, CARHR234000.1, CARHR123570.1, 916062, 945405, CARHR254240.1, CARHR254270.1, 482718, CARHR234230.1, 950211, 952529, 482857, 317082
cluster_99	AT5G41310.1, AT1G18410.1, AT1G63640.1, AT1G73860.1, AT3G10310.1, AT5G41290.1, AT5G41300.1, AT5G41280.1, AT1G09170.1, AT2G47500.1, AT5G27000.1	CARHR009100.1, CARHR142900.1, CARHR186460.1, 474991, 902806, 903909, CARHR047700.1, CARHR066960.1, CARHR213020.1, CARHR213030.1, 935651, 493849, 335100, 493850, 346476, CARHR019010.1, CARHR213040.1, CARHR084790.1, CARHR213050.1, 311961, 330390, 489530
