genids	species	highest_mean_genid
NP_001116075.1, NP_001158127.1	Mus musculus	NP_001116075.1
NP_001230021.1, NP_001116132.1, NP_032207.3	Mus musculus	NP_001116132.1
NP_941068.1, NP_001116133.1	Mus musculus	NP_941068.1
NP_001116134.1, NP_001171045.1	Mus musculus	NP_001171045.1
NP_001116840.1, NP_001116839.1	Mus musculus	NP_001116839.1
NP_001119789.1, NP_001156667.1	Mus musculus	NP_001119789.1
NP_001119790.1, NP_080695.1	Mus musculus	NP_080695.1
NP_001119963.1, NP_001192037.1	Mus musculus	NP_001192037.1
NP_001171050.1, NP_997540.2, NP_001127771.1, NP_001268454.1, NP_001365564.1, NP_083652.2	Mus musculus	NP_001268454.1
NP_001128132.1, NP_001128133.1, NP_082309.1	Mus musculus	NP_001128132.1
NP_001136410.1, NP_001136411.1	Mus musculus	NP_001136410.1
NP_001153247.1, NP_667220.2	Mus musculus	NP_001153247.1
NP_666991.1, NP_001156412.1	Mus musculus	NP_666991.1
XP_006523188.1, NP_001157087.1	Mus musculus	XP_006523188.1
NP_001157534.1, NP_035619.3	Mus musculus	NP_035619.3
NP_001157589.1, NP_683744.2	Mus musculus	NP_001157589.1
NP_001157758.1, NP_001186885.1	Mus musculus	NP_001186885.1
NP_001159416.1, NP_001357809.1, NP_666381.2	Mus musculus	NP_001159416.1
NP_001160109.1, NP_001160106.1, NP_001160110.1, NP_001160111.1, NP_001160113.1, NP_001160108.1	Mus musculus	NP_001160110.1
NP_001160144.1, XP_006539695.1	Mus musculus	NP_001160144.1
NP_598948.1, NP_001160182.1	Mus musculus	NP_598948.1
NP_598930.1, NP_001160191.1	Mus musculus	NP_001160191.1
NP_001160194.1, NP_109662.1	Mus musculus	NP_109662.1
NP_001160206.1, NP_109665.1	Mus musculus	NP_109665.1
NP_001160212.1, NP_001160229.1	Mus musculus	NP_001160212.1
NP_001161006.1, NP_001161007.1	Mus musculus	NP_001161007.1
NP_001161014.1, NP_599001.1	Mus musculus	NP_001161014.1
NP_001170999.1, NP_001161262.1	Mus musculus	NP_001161262.1
NP_001161385.1, NP_038769.1	Mus musculus	NP_038769.1
NP_001164495.1, NP_034345.2	Mus musculus	NP_034345.2
XP_030101874.1, NP_001166157.1, NP_667134.2	Mus musculus	NP_001166157.1
NP_001167625.1, NP_001288185.1, NP_001288188.1, NP_473413.1, NP_031792.1, NP_031793.2, NP_034087.2, NP_034089.1, NP_034090.1, NP_034091.1, NP_619602.1, NP_619603.1, NP_619604.1, NP_932785.1, NP_957695.1	Mus musculus	NP_034087.2
NP_001170909.1, NP_082821.2	Mus musculus	NP_001170909.1
NP_001170979.1, NP_666641.2	Mus musculus	NP_001170979.1
NP_001170992.1, NP_899091.2	Mus musculus	NP_001170992.1
NP_001171006.1, NP_001257827.1, NP_001257830.1, NP_001257571.1, NP_001257828.1, NP_001257573.1, NP_001257829.1	Mus musculus	NP_001257827.1
NP_835491.1, NP_835492.1, NP_001171015.1	Mus musculus	NP_835491.1
NP_032056.1, NP_001171509.1	Mus musculus	NP_032056.1
NP_031942.2, NP_001177715.1	Mus musculus	NP_001177715.1
NP_001182563.2, NP_001257484.1	Mus musculus	NP_001182563.2
NP_035128.2, NP_997058.2, NP_001185991.1	Mus musculus	NP_997058.2
NP_001186263.1, NP_034802.1	Mus musculus	NP_001186263.1
NP_666938.2, NP_001186956.1	Mus musculus	NP_001186956.1
XP_011246186.1, NP_001361144.1, NP_001229945.1, NP_001188287.1, NP_084312.1	Mus musculus	NP_001229945.1
NP_001188320.1, NP_032246.2	Mus musculus	NP_001188320.1
NP_001188389.1, NP_034521.1, NP_075613.3	Mus musculus	NP_001188389.1
NP_001191964.1, NP_001191962.1	Mus musculus	NP_001191964.1
NP_001191966.1, XP_980150.2	Mus musculus	XP_980150.2
NP_001192251.1, NP_001371016.1	Mus musculus	NP_001192251.1
NP_001369321.1, NP_001229946.1, NP_001229961.1	Mus musculus	NP_001229961.1
XP_011239298.1, XP_011239299.1, NP_001361660.1, NP_001230033.1, NP_080412.1	Mus musculus	XP_011239298.1
NP_001243410.2, NP_001264460.1, NP_001264504.1	Mus musculus	NP_001243410.2
NP_001186263.1, NP_001257416.1, NP_034802.1, NP_570926.1, NP_001263207.1	Mus musculus	NP_001186263.1
NP_001257439.1, NP_035383.2	Mus musculus	NP_001257439.1
NP_001257442.1, NP_001257443.1, NP_001257444.1, NP_001257445.1	Mus musculus	NP_001257442.1
NP_001372034.1, NP_001258812.1, NP_001372053.1	Mus musculus	NP_001258812.1
NP_001264441.1, NP_001243410.2, NP_001264460.1, NP_001264416.1, XP_011248342.1, NP_001264504.1	Mus musculus	NP_001243410.2
NP_001296728.1, NP_001264873.1	Mus musculus	NP_001296728.1
NP_001265187.1, NP_075530.1	Mus musculus	NP_075530.1
NP_001265200.1, NP_663380.1	Mus musculus	NP_001265200.1
NP_001268448.1, NP_001365566.1, NP_001268445.1, NP_001365573.1, NP_001365574.1	Mus musculus	NP_001268448.1
NP_001268448.1, NP_001365574.1, NP_001268454.1, NP_083652.2	Mus musculus	NP_001268448.1
NP_001274123.1, NP_001274124.1	Mus musculus	NP_001274124.1
NP_001289895.1, XP_006517870.1	Mus musculus	NP_001289895.1
NP_001297561.1, NP_061226.1	Mus musculus	NP_001297561.1
NP_700451.2, NP_001304102.1, NP_694817.2	Mus musculus	NP_001304102.1
NP_001307654.1, NP_001307649.1	Mus musculus	NP_001307654.1
NP_001309267.1, NP_001309994.1	Mus musculus	NP_001309994.1
NP_001344749.1, NP_075891.1	Mus musculus	NP_001344749.1
NP_001346008.1, NP_766365.1, XP_011247895.1	Mus musculus	NP_766365.1
NP_001351862.1, NP_064432.1	Mus musculus	NP_001351862.1
XP_036008342.1, NP_001355752.1	Mus musculus	NP_001355752.1
NP_001357689.1, NP_667054.2	Mus musculus	NP_667054.2
XP_036017245.1, NP_001357832.1	Mus musculus	XP_036017245.1
NP_997137.1, NP_001357854.1	Mus musculus	NP_997137.1
XP_036012037.1, XP_036012039.1, XP_036012040.1, XP_036012038.1, NP_001359284.1	Mus musculus	NP_001359284.1
XP_006534667.1, NP_001359500.1	Mus musculus	XP_006534667.1
XP_030104076.1, NP_001361020.1	Mus musculus	XP_030104076.1
NP_001361655.1, NP_001365606.1, XP_030110650.1	Mus musculus	NP_001365606.1
NP_001365197.1, NP_081926.2	Mus musculus	NP_001365197.1
NP_964003.2, NP_964004.1, NP_964006.2, NP_001365304.1	Mus musculus	NP_964006.2
NP_001365660.1, NP_001365335.1	Mus musculus	NP_001365660.1
NP_001365591.1, XP_006523193.1	Mus musculus	XP_006523193.1
XP_011246417.1, NP_001365593.1, XP_006496584.1	Mus musculus	XP_011246417.1
XP_030099779.1, XP_030099780.1, XP_030099781.1, NP_001365647.1, XP_036010312.1, XP_036010313.1, XP_036010315.1, XP_036010316.1	Mus musculus	XP_030099781.1
NP_001368930.1, NP_001371138.1	Mus musculus	NP_001371138.1
NP_001371052.1, XP_036010311.1, XP_030099774.1, XP_030099775.1, XP_030099776.1, XP_030099777.1, XP_036010308.1, XP_036010309.1	Mus musculus	NP_001371052.1
XP_030108190.1, NP_064302.2, NP_001371878.1	Mus musculus	NP_001371878.1
NP_001380452.1, NP_084358.1	Mus musculus	NP_001380452.1
NP_001387706.1, NP_077157.2	Mus musculus	NP_077157.2
NP_001398423.1, NP_031472.2	Mus musculus	NP_001398423.1
NP_035982.2, NP_001411632.1	Mus musculus	NP_035982.2
NP_031703.1, NP_036094.2	Mus musculus	NP_036094.2
NP_031806.3, NP_031807.1	Mus musculus	NP_031806.3
NP_031841.3, NP_034132.2, NP_034133.2	Mus musculus	NP_031841.3
NP_031913.1, NP_958811.2	Mus musculus	NP_031913.1
NP_033861.2, NP_032038.1, NP_765986.3	Mus musculus	NP_032038.1
NP_032173.1, NP_038560.1	Mus musculus	NP_038560.1
NP_032209.1, NP_034489.1	Mus musculus	NP_032209.1
NP_032245.1, NP_032247.1	Mus musculus	NP_032247.1
NP_034632.2, NP_032359.2, NP_034634.1, NP_034635.2, NP_996754.1, NP_032360.2	Mus musculus	NP_996754.1
NP_034633.2, NP_032362.2, NP_996750.1	Mus musculus	NP_032362.2
NP_034244.1, NP_032480.1	Mus musculus	NP_034244.1
NP_034769.4, NP_034773.1, NP_032482.1, NP_035045.2, NP_032719.1	Mus musculus	NP_032719.1
NP_034246.1, NP_034770.1, XP_011249110.1, NP_034774.1, NP_064664.1, NP_034775.1, NP_032483.1	Mus musculus	NP_034770.1
NP_032502.3, NP_034799.2	Mus musculus	NP_034799.2
NP_032699.1, XP_006509655.1	Mus musculus	XP_006509655.1
NP_032730.1, NP_032731.1	Mus musculus	NP_032730.1
NP_001277056.1, NP_033058.2, NP_079993.2	Mus musculus	NP_033058.2
NP_694773.1, NP_536684.2, NP_033066.1	Mus musculus	NP_033066.1
NP_033068.1, NP_033069.1	Mus musculus	NP_033068.1
NP_033125.2, NP_954597.2	Mus musculus	NP_033125.2
NP_033143.1, NP_035444.1	Mus musculus	NP_033143.1
NP_033278.2, NP_033279.2	Mus musculus	NP_033278.2
NP_035582.1, NP_033282.1	Mus musculus	NP_033282.1
NP_033335.1, XP_036016337.1	Mus musculus	XP_036016337.1
NP_033364.2, NP_694791.2	Mus musculus	NP_033364.2
NP_035801.3, NP_033490.1	Mus musculus	NP_035801.3
NP_034029.2, NP_631887.2, NP_085104.1	Mus musculus	NP_085104.1
NP_034045.1, NP_034047.2	Mus musculus	NP_034045.1
NP_034138.3, NP_083255.1	Mus musculus	NP_034138.3
NP_034444.1, NP_079607.1	Mus musculus	NP_079607.1
NP_034502.2, NP_034503.2, NP_034505.1	Mus musculus	NP_034505.1
NP_034517.2, NP_034518.1	Mus musculus	NP_034518.1
NP_997531.1, NP_034524.3	Mus musculus	NP_034524.3
NP_038586.2, NP_034608.2, NP_034609.2	Mus musculus	NP_034609.2
NP_034637.1, NP_996753.1, NP_796335.1, NP_996858.1	Mus musculus	NP_996753.1
NP_034789.2, NP_038598.1, NP_081839.1, NP_082259.2	Mus musculus	NP_082259.2
NP_034793.1, NP_997648.2	Mus musculus	NP_034793.1
NP_034796.1, NP_598491.1, NP_081850.1	Mus musculus	NP_034796.1
NP_035002.2, NP_035000.2	Mus musculus	NP_035000.2
NP_035100.1, NP_666458.1	Mus musculus	NP_035100.1
NP_035110.1, NP_667196.1	Mus musculus	NP_667196.1
NP_035127.1, NP_666727.2	Mus musculus	NP_035127.1
NP_035129.2, NP_666449.2	Mus musculus	NP_035129.2
NP_035131.1, NP_666737.2	Mus musculus	NP_666737.2
NP_035539.1, NP_035540.2	Mus musculus	NP_035540.2
NP_035783.1, NP_035784.1	Mus musculus	NP_035783.1
NP_631881.1, NP_035861.2	Mus musculus	NP_631881.1
NP_598949.3, NP_036136.1	Mus musculus	NP_598949.3
NP_861461.1, NP_038569.1	Mus musculus	NP_038569.1
NP_038576.1, NP_835511.1, NP_835512.1	Mus musculus	NP_038576.1
NP_038577.1, NP_835584.1	Mus musculus	NP_038577.1
NP_059068.1, NP_038618.1	Mus musculus	NP_038618.1
NP_038644.2, NP_038645.2, NP_038646.2	Mus musculus	NP_038645.2
NP_038648.2, NP_038649.2	Mus musculus	NP_038648.2
NP_038660.1, XP_011243453.2	Mus musculus	NP_038660.1
NP_038729.1, NP_964005.2	Mus musculus	NP_038729.1
NP_666784.2, NP_038756.2	Mus musculus	NP_666784.2
NP_038762.1, NP_848492.1	Mus musculus	NP_848492.1
NP_058659.1, NP_057920.2	Mus musculus	NP_057920.2
NP_671755.2, NP_663399.2, NP_059501.1	Mus musculus	NP_671755.2
NP_062348.1, NP_062346.1, NP_062347.2	Mus musculus	NP_062347.2
NP_077723.3, NP_062675.2	Mus musculus	NP_077723.3
NP_064400.1, NP_064402.1	Mus musculus	NP_064402.1
NP_064401.2, NP_064403.1	Mus musculus	NP_064401.2
NP_064685.2, NP_667051.1	Mus musculus	NP_667051.1
NP_065258.2, NP_065259.1	Mus musculus	NP_065259.1
NP_067340.2, NP_898917.2	Mus musculus	NP_898917.2
NP_068364.1, NP_083775.1	Mus musculus	NP_083775.1
NP_081182.2, NP_071721.2	Mus musculus	NP_071721.2
NP_570952.1, NP_071879.1	Mus musculus	NP_071879.1
NP_001392764.1, NP_079694.2	Mus musculus	NP_001392764.1
NP_079800.1, NP_079996.2	Mus musculus	NP_079800.1
NP_079899.1, NP_082805.1	Mus musculus	NP_079899.1
XP_006510985.1, NP_080950.1	Mus musculus	NP_080950.1
NP_081087.1, NP_081413.1, NP_082898.1, NP_082901.1	Mus musculus	NP_081413.1
NP_954599.2, NP_081620.2	Mus musculus	NP_081620.2
NP_473399.1, NP_081679.2	Mus musculus	NP_081679.2
NP_899017.2, NP_083268.1	Mus musculus	NP_899017.2
NP_778200.1, NP_112537.2	Mus musculus	NP_112537.2
NP_899017.2, NP_808580.2, NP_083268.1, NP_113555.1	Mus musculus	NP_113555.1
NP_291052.3, NP_291053.1	Mus musculus	NP_291052.3
NP_291054.1, NP_291055.1, NP_291056.1, NP_291057.1	Mus musculus	NP_291057.1
NP_291062.1, NP_291063.1, NP_291064.1, NP_291065.3, NP_291066.1, NP_291067.1, NP_291068.2, NP_291069.1, NP_291070.1, NP_291071.1	Mus musculus	NP_291071.1
NP_291072.1, NP_291073.1	Mus musculus	NP_291073.1
NP_444359.3, NP_444361.1, NP_444363.1	Mus musculus	NP_444359.3
NP_444360.1, NP_444362.3	Mus musculus	NP_444360.1
NP_444365.1, NP_444366.3, NP_444367.1, NP_444369.3	Mus musculus	NP_444366.3
NP_444430.2, NP_598421.1	Mus musculus	NP_444430.2
NP_444447.1, NP_001095075.1	Mus musculus	NP_001095075.1
NP_444448.1, NP_444449.2	Mus musculus	NP_444448.1
NP_444450.2, NP_444451.2	Mus musculus	NP_444451.2
NP_444452.1, NP_444453.1	Mus musculus	NP_444452.1
NP_444465.2, NP_444466.2, NP_444467.2	Mus musculus	NP_444465.2
NP_835734.2, NP_835587.1, NP_473386.1	Mus musculus	NP_473386.1
NP_473431.1, NP_667059.2	Mus musculus	NP_473431.1
NP_473441.1, XP_030105222.1	Mus musculus	NP_473441.1
NP_542766.1, XP_006518740.1	Mus musculus	XP_006518740.1
NP_570946.2, NP_570927.1	Mus musculus	NP_570927.1
NP_598888.1, XP_006524820.1	Mus musculus	NP_598888.1
NP_598905.2, NP_996260.1	Mus musculus	NP_598905.2
NP_598926.1, NP_598927.1	Mus musculus	NP_598926.1
NP_598935.2, NP_598936.1	Mus musculus	NP_598936.1
NP_598939.1, NP_598940.1	Mus musculus	NP_598939.1
NP_598942.1, NP_598943.1	Mus musculus	NP_598942.1
NP_598998.1, NP_598999.1	Mus musculus	NP_598998.1
NP_599007.1, NP_663419.3	Mus musculus	NP_663419.3
NP_647454.2, NP_808810.1	Mus musculus	NP_647454.2
NP_653094.2, NP_941074.1	Mus musculus	NP_941074.1
NP_997099.2, NP_659094.1	Mus musculus	NP_659094.1
NP_958812.3, NP_659545.2	Mus musculus	NP_958812.3
NP_937814.1, NP_663578.1	Mus musculus	NP_663578.1
NP_665843.1, NP_665849.1	Mus musculus	NP_665849.1
NP_996891.2, NP_666378.1, NP_666758.1	Mus musculus	NP_666758.1
NP_666379.1, NP_667075.1	Mus musculus	NP_666379.1
NP_666383.2, NP_666642.2	Mus musculus	NP_666642.2
NP_666386.1, NP_666660.1	Mus musculus	NP_666386.1
NP_996779.1, NP_666389.1, NP_666701.1, NP_666702.1, NP_667248.1	Mus musculus	NP_667248.1
NP_666392.1, NP_666668.2	Mus musculus	NP_666392.1
NP_666394.1, NP_666736.1	Mus musculus	NP_666394.1
NP_666396.1, NP_666939.1	Mus musculus	NP_666396.1
NP_001011830.2, NP_666400.3, NP_666840.2, NP_666842.1	Mus musculus	NP_666842.1
NP_666406.2, NP_666861.2	Mus musculus	NP_666406.2
NP_666415.1, NP_666483.1	Mus musculus	NP_666415.1
XP_006503177.1, NP_666421.2	Mus musculus	NP_666421.2
NP_666422.1, NP_666708.1, NP_666948.1	Mus musculus	NP_666422.1
NP_666438.2, NP_667040.2	Mus musculus	NP_666438.2
NP_666441.1, NP_667288.1, NP_667332.1	Mus musculus	NP_667332.1
NP_666448.2, NP_667079.1	Mus musculus	NP_667079.1
NP_666456.1, NP_667201.1	Mus musculus	NP_666456.1
NP_666460.2, NP_667240.1	Mus musculus	NP_667240.1
NP_666463.2, NP_667241.2	Mus musculus	NP_667241.2
NP_666479.1, NP_667039.1	Mus musculus	NP_667039.1
NP_666480.1, NP_666833.1	Mus musculus	NP_666833.1
NP_666482.1, NP_666481.1, NP_666864.1	Mus musculus	NP_666481.1
NP_666489.1, NP_996552.1	Mus musculus	NP_996552.1
NP_667125.1, NP_666497.1, NP_667124.1, NP_667126.1, NP_667127.1	Mus musculus	NP_667126.1
XP_017173815.1, NP_666507.1	Mus musculus	NP_666507.1
NP_666517.2, NP_666518.2	Mus musculus	NP_666518.2
NP_666519.1, NP_666521.2	Mus musculus	NP_666521.2
NP_666523.2, NP_666524.2, NP_666525.2	Mus musculus	NP_666524.2
NP_666532.2, NP_666879.2	Mus musculus	NP_666532.2
NP_666636.1, NP_666637.1	Mus musculus	NP_666637.1
NP_666644.1, NP_666645.1, NP_666646.1	Mus musculus	NP_666646.1
NP_997033.1, NP_666661.2	Mus musculus	NP_666661.2
NP_666663.2, NP_666664.1, NP_666809.1	Mus musculus	NP_666663.2
NP_001011813.1, NP_666667.2, NP_666688.2, NP_874373.2	Mus musculus	NP_874373.2
NP_666670.2, NP_667104.2, NP_667108.2, NP_667109.2, NP_667112.1	Mus musculus	NP_667112.1
NP_001011741.1, NP_666678.1, NP_666684.1, NP_667277.1	Mus musculus	NP_001011741.1
NP_996558.1, NP_666679.1	Mus musculus	NP_666679.1
NP_996558.1, NP_666679.1, NP_666681.1, NP_666682.1, NP_667276.1	Mus musculus	NP_666679.1
NP_666683.1, NP_997457.1	Mus musculus	NP_997457.1
NP_666685.1, NP_667005.1, NP_667185.1	Mus musculus	NP_667005.1
NP_666706.1, NP_666986.1	Mus musculus	NP_666986.1
NP_997113.1, NP_666711.2, NP_666712.2	Mus musculus	NP_666712.2
NP_997548.1, NP_666717.1, NP_666718.1	Mus musculus	NP_666717.1
NP_666721.1, NP_666726.1	Mus musculus	NP_666721.1
NP_997503.1, NP_666756.2, NP_997442.1	Mus musculus	NP_997503.1
NP_666774.1, NP_666772.1	Mus musculus	NP_666772.1
NP_666775.1, NP_666776.1	Mus musculus	NP_666775.1
NP_001011758.2, NP_666779.1, NP_666780.2, NP_666973.2	Mus musculus	NP_666779.1
NP_666794.1, NP_667222.1	Mus musculus	NP_667222.1
NP_666798.2, NP_666800.2	Mus musculus	NP_666798.2
NP_997018.2, NP_666801.2	Mus musculus	NP_666801.2
NP_666805.1, NP_666979.1	Mus musculus	NP_666805.1
NP_666810.1, NP_666813.2	Mus musculus	NP_666813.2
NP_666822.1, NP_667037.1	Mus musculus	NP_666822.1
NP_666846.1, NP_666847.1	Mus musculus	NP_666847.1
NP_666850.1, NP_666853.2	Mus musculus	NP_666850.1
NP_666856.2, NP_666860.2	Mus musculus	NP_666860.2
NP_666869.2, NP_667047.1	Mus musculus	NP_666869.2
NP_666874.2, NP_666876.1	Mus musculus	NP_666876.1
NP_997016.2, NP_666878.2	Mus musculus	NP_666878.2
NP_666884.2, NP_666885.1	Mus musculus	NP_666885.1
NP_666887.1, NP_666888.1	Mus musculus	NP_666888.1
NP_666902.1, XP_030106807.1	Mus musculus	NP_666902.1
NP_666908.2, NP_666909.1	Mus musculus	NP_666909.1
NP_666914.1, NP_666915.1	Mus musculus	NP_666914.1
NP_666918.1, NP_666920.2	Mus musculus	NP_666918.1
NP_666922.2, NP_997505.1	Mus musculus	NP_666922.2
NP_997020.3, NP_666925.2	Mus musculus	NP_997020.3
NP_666927.2, NP_666928.2	Mus musculus	NP_666928.2
NP_666957.1, NP_666958.1	Mus musculus	NP_666957.1
NP_666962.1, NP_667266.1	Mus musculus	NP_666962.1
NP_666977.2, NP_666981.2, NP_667055.2	Mus musculus	NP_667055.2
NP_666993.2, NP_666998.2	Mus musculus	NP_666993.2
NP_001011796.2, NP_666999.2, NP_667002.2, NP_667003.2, NP_667177.2	Mus musculus	NP_667177.2
NP_667001.1, NP_667181.1	Mus musculus	NP_667001.1
NP_667004.1, NP_667191.1, NP_667195.1	Mus musculus	NP_667191.1
XP_017168881.1, NP_667014.2, NP_667015.2	Mus musculus	XP_017168881.1
NP_667016.2, XP_017168882.1, NP_667084.2	Mus musculus	XP_017168882.1
NP_667017.2, NP_667086.2	Mus musculus	NP_667086.2
NP_667025.1, NP_667307.1	Mus musculus	NP_667307.1
NP_667028.2, XP_017174033.1	Mus musculus	NP_667028.2
NP_001011860.1, NP_667029.2, NP_667110.2, NP_667111.2, NP_667113.2	Mus musculus	NP_667110.2
NP_667052.1, NP_667258.2, NP_667287.2	Mus musculus	NP_667258.2
XP_017175720.1, NP_667063.1, NP_667064.2	Mus musculus	NP_667063.1
NP_667072.1, NP_667073.1	Mus musculus	NP_667072.1
NP_667081.2, NP_667082.2	Mus musculus	NP_667081.2
NP_667095.2, NP_667097.1, NP_667099.1	Mus musculus	NP_667097.1
NP_001011860.1, NP_667102.2, NP_667103.2, NP_667178.1	Mus musculus	NP_667178.1
NP_667120.1, NP_667121.1, NP_667122.1	Mus musculus	NP_667121.1
NP_667135.1, NP_667137.1	Mus musculus	NP_667137.1
NP_667157.1, NP_667155.1	Mus musculus	NP_667157.1
NP_667168.1, NP_667169.2	Mus musculus	NP_667169.2
NP_667174.1, NP_667175.1, NP_667171.1, NP_667172.1, NP_667173.1	Mus musculus	NP_667173.1
NP_667205.2, NP_667206.1	Mus musculus	NP_667206.1
XP_030104978.1, NP_667208.2	Mus musculus	XP_030104978.1
NP_667214.1, NP_667215.2	Mus musculus	NP_667214.1
NP_667216.1, NP_667218.1	Mus musculus	NP_667218.1
NP_667227.2, NP_997445.1	Mus musculus	NP_997445.1
XP_036012600.1, NP_667233.2	Mus musculus	NP_667233.2
NP_997107.1, NP_667234.1	Mus musculus	NP_997107.1
NP_996780.2, NP_667246.2	Mus musculus	NP_667246.2
NP_667252.1, NP_667251.1	Mus musculus	NP_667252.1
NP_667253.1, NP_667282.1	Mus musculus	NP_667282.1
NP_667025.1, NP_667254.1, NP_667270.1, NP_667271.2, NP_667307.1	Mus musculus	NP_667307.1
NP_997132.1, NP_667256.1	Mus musculus	NP_997132.1
NP_667260.1, NP_667261.1	Mus musculus	NP_667260.1
NP_667284.1, NP_667323.1	Mus musculus	NP_667323.1
NP_667303.1, NP_667324.2	Mus musculus	NP_667303.1
NP_667316.2, NP_667317.1, NP_667319.1	Mus musculus	NP_667319.1
NP_667329.2, NP_667331.1	Mus musculus	NP_667329.2
NP_783586.1, NP_694813.1	Mus musculus	NP_783586.1
NP_694873.2, XP_006501105.2	Mus musculus	NP_694873.2
NP_766191.1, XP_006518990.1	Mus musculus	NP_766191.1
NP_766384.2, NP_853523.2	Mus musculus	NP_766384.2
NP_783584.1, NP_835510.1	Mus musculus	NP_783584.1
NP_783593.1, NP_835585.3	Mus musculus	NP_783593.1
NP_835505.1, NP_783596.1	Mus musculus	NP_835505.1
NP_808416.1, NP_808417.2	Mus musculus	NP_808417.2
NP_835495.1, NP_835494.1	Mus musculus	NP_835495.1
NP_835501.1, NP_835503.1	Mus musculus	NP_835501.1
NP_932128.2, NP_666315.3	Mus musculus	NP_666315.3
NP_996908.1, NP_954606.2	Mus musculus	NP_954606.2
NP_001404888.1, NP_955454.1	Mus musculus	NP_001404888.1
XP_011237863.1, NP_997023.1	Mus musculus	XP_011237863.1
NP_997040.1, NP_997586.1	Mus musculus	NP_997040.1
NP_997502.2, NP_997429.2	Mus musculus	NP_997429.2
XP_003084730.1, XP_036008674.1	Mus musculus	XP_036008674.1
XP_003084927.1, XP_030101272.1	Mus musculus	XP_030101272.1
XP_011239298.1, XP_011239299.1, XP_006504843.1, XP_011239300.1, NP_001361660.1, NP_080412.1	Mus musculus	XP_011239300.1
XP_017176908.1, XP_006506493.1	Mus musculus	XP_006506493.1
XP_006514046.1, XP_006514092.1	Mus musculus	XP_006514046.1
XP_006522890.1, XP_011244156.1	Mus musculus	XP_011244156.1
XP_006523183.1, XP_006523185.1, XP_006523186.1, XP_006523187.1	Mus musculus	XP_006523186.1
XP_006523189.1, NP_001365591.1, XP_006523192.1, XP_006523193.1, XP_006523195.1, XP_006523197.1, XP_030105227.1, XP_030105245.1, XP_030105247.1	Mus musculus	XP_030105247.1
XP_006523195.1, XP_011244468.1, XP_006523197.1, XP_006523198.1, XP_006523199.1, XP_030105227.1, XP_030105240.1, XP_030105247.1	Mus musculus	XP_006523199.1
XP_006523428.1, XP_006523433.1, XP_006524521.1	Mus musculus	XP_006524521.1
XP_011245453.1, XP_006527327.1	Mus musculus	XP_006527327.1
XP_011243163.1, XP_011243106.1	Mus musculus	XP_011243106.1
XP_017176346.1, XP_030110275.1	Mus musculus	XP_030110275.1
XP_030111558.1, XP_017177345.1, XP_030111559.1, XP_017177340.1, XP_030111557.1, XP_030111556.1, XP_036008345.1, XP_036008346.1	Mus musculus	XP_017177345.1
XP_036012031.1, XP_036012032.1	Mus musculus	XP_036012032.1
XP_036012049.1, XP_036012050.1	Mus musculus	XP_036012049.1
XP_036012051.1, XP_036012052.1, XP_036012053.1, XP_036012054.1, XP_036012055.1, XP_036012056.1	Mus musculus	XP_036012053.1
XP_036014906.1, XP_036014904.1	Mus musculus	XP_036014906.1
XP_036016506.1, XP_036016580.1	Mus musculus	XP_036016506.1
XP_036020485.1, XP_036020488.1	Mus musculus	XP_036020488.1
XP_036020542.1, XP_036020547.1	Mus musculus	XP_036020547.1
NP_001000000.1, NP_001000001.1, NP_001000788.1	Rattus norvegicus	NP_001000001.1
NP_001000002.1, NP_001001094.1, NP_001001095.1, NP_001001096.1	Rattus norvegicus	NP_001001096.1
NP_001000004.1, NP_001000783.1, NP_001000784.1, NP_001000785.1	Rattus norvegicus	NP_001000004.1
NP_001000005.1, NP_001000786.1, NP_001000787.1, NP_001001012.1	Rattus norvegicus	NP_001001012.1
XP_008765971.1, NP_001000006.1, NP_001000010.1, NP_001000011.1, XP_063125626.1	Rattus norvegicus	XP_063125626.1
NP_001000007.1, NP_001000780.1	Rattus norvegicus	NP_001000007.1
NP_001000013.1, NP_001000777.1	Rattus norvegicus	NP_001000777.1
NP_001000016.1, NP_001000017.1	Rattus norvegicus	NP_001000017.1
NP_001000018.1, NP_001000776.1, NP_001000958.1, XP_008765974.1	Rattus norvegicus	NP_001000018.1
NP_001000019.1, NP_001000775.1	Rattus norvegicus	NP_001000019.1
NP_001000021.1, NP_001000526.1, NP_001000770.1	Rattus norvegicus	NP_001000526.1
NP_001000021.1, NP_001000022.1, NP_001000769.1, NP_001000770.1	Rattus norvegicus	NP_001000769.1
NP_001000024.1, NP_001000025.1, NP_001000723.1, NP_997692.1, NP_001000724.1	Rattus norvegicus	NP_997692.1
NP_001000027.1, NP_001000943.1	Rattus norvegicus	NP_001000943.1
NP_001000029.1, NP_001000717.1	Rattus norvegicus	NP_001000029.1
NP_001000032.1, XP_008766135.1, XP_003750902.1	Rattus norvegicus	NP_001000032.1
NP_001000034.1, NP_001001350.1	Rattus norvegicus	NP_001001350.1
NP_001000035.1, NP_001000036.1	Rattus norvegicus	NP_001000036.1
NP_001000037.1, NP_001000714.1	Rattus norvegicus	NP_001000037.1
NP_001000039.1, NP_001000040.1, NP_001000713.1	Rattus norvegicus	NP_001000040.1
NP_001000047.1, NP_001000048.1	Rattus norvegicus	NP_001000047.1
NP_001000049.1, NP_001000725.1, NP_001001009.1	Rattus norvegicus	NP_001000725.1
